file	line	method	endpoint	normalized	classification	backend_candidates
admin-app/web-admin/src/pages/admin/audit-logs.tsx	28	GET	/admin/governance/audit-logs	/admin/governance/audit-logs	PASS_MATCHED	28 /admin/governance/audit-logs (backend/src/modules/admin-web-core/controllers/admin-governance.controller.ts)
admin-app/web-admin/src/pages/admin/disputes.tsx	30	GET	/admin/disputes	/admin/disputes	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/nursing-portal.tsx	15	POST	/admin/nursing/requests	/admin/nursing/requests	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/nursing-portal.tsx	29	POST	/admin/nursing/requests/${requestId}/assign	/admin/nursing/requests/:id/assign	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/provider-audits.tsx	13	POST	/admin/provider-deltas/pending	/admin/provider-deltas/pending	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/provider-audits.tsx	22	POST	/admin/provider-deltas/${id}/approve	/admin/provider-deltas/:id/approve	PASS_MATCHED	53 /admin/provider-deltas/:deltaId/approve (backend/src/modules/admin/admin.controller.ts)
admin-app/web-admin/src/pages/admin/provider-audits.tsx	32	POST	/admin/provider-deltas/${id}/reject	/admin/provider-deltas/:id/reject	PASS_MATCHED	67 /admin/provider-deltas/:deltaId/reject (backend/src/modules/admin/admin.controller.ts)
admin-app/web-admin/src/pages/admin/users-management.tsx	16	POST	/admin/users	/admin/users	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/users-management.tsx	29	POST	/admin/users/${id}/ban	/admin/users/:id/ban	UNMATCHED_API_REVIEW	
patient-app/app/(auth)/forgot-password.tsx	31	POST	/auth/send-otp	/auth/send-otp	PASS_MATCHED	126 /auth/send-otp (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/login.tsx	100	POST	/auth/social-login	/auth/social-login	PASS_MATCHED	148 /auth/social-login (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/login.tsx	158	POST	/auth/login	/auth/login	PASS_MATCHED	41 /auth/login (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/otp.tsx	78	POST	/auth/verify-otp	/auth/verify-otp	PASS_MATCHED	133 /auth/verify-otp (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/otp.tsx	96	POST	/auth/register	/auth/register	PASS_MATCHED	35 /auth/register (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/register.tsx	121	POST	/auth/social-login	/auth/social-login	PASS_MATCHED	148 /auth/social-login (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/register.tsx	175	POST	/auth/send-otp	/auth/send-otp	PASS_MATCHED	126 /auth/send-otp (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/reset-password.tsx	33	POST	/auth/reset-password	/auth/reset-password	PASS_MATCHED	140 /auth/reset-password (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(auth)/welcome.tsx	32	POST	/auth/guest	/auth/guest	PASS_MATCHED	59 /auth/guest (backend/src/modules/auth/auth.controller.ts)
patient-app/app/(tabs)/consultations/index.tsx	83	GET	/providers?type=doctor	/providers	PASS_MATCHED	20 /providers (backend/src/modules/providers/providers.controller.ts)
patient-app/app/(tabs)/diagnostics.tsx	56	GET	/labs/packages	/labs/packages	PASS_MATCHED	29 /labs/packages (backend/src/modules/labs/labs.controller.ts)
patient-app/app/(tabs)/diagnostics.tsx	57	GET	/labs/services	/labs/services	PASS_MATCHED	9 /labs/services (backend/src/modules/labs/labs.controller.ts)
patient-app/app/(tabs)/diagnostics.tsx	58	GET	/radiology/services	/radiology/services	PASS_MATCHED	10 /radiology/services (backend/src/modules/radiology/radiology.controller.ts)
patient-app/app/(tabs)/diagnostics.tsx	59	GET	/providers?type=lab	/providers	PASS_MATCHED	20 /providers (backend/src/modules/providers/providers.controller.ts)
patient-app/app/(tabs)/health.tsx	97	GET	/health/vitals/summary	/health/vitals/summary	PASS_MATCHED	19 /health/vitals/summary (backend/src/modules/health/health.controller.ts)
patient-app/app/(tabs)/health.tsx	98	GET	/users/me/profile	/users/me/profile	PASS_MATCHED	11 /users/me/profile (backend/src/modules/users/users.controller.ts)
patient-app/app/(tabs)/health.tsx	99	GET	/home/upcoming-appointment	/home/upcoming-appointment	PASS_MATCHED	15 /home/upcoming-appointment (backend/src/modules/home/home.controller.ts)
patient-app/app/(tabs)/health.tsx	107	GET	"/nutrition/daily-summary?date=${new Date().toISOString().split(""T"")[0]}"	/nutrition/daily-summary	PASS_MATCHED	53 /nutrition/daily-summary (backend/src/modules/nutrition/nutrition.controller.ts)
patient-app/app/(tabs)/index.tsx	84	GET	/home/offers	/home/offers	PASS_MATCHED	10 /home/offers (backend/src/modules/home/home.controller.ts)
patient-app/app/(tabs)/index.tsx	85	GET	/home/upcoming-appointment	/home/upcoming-appointment	PASS_MATCHED	15 /home/upcoming-appointment (backend/src/modules/home/home.controller.ts)
patient-app/app/(tabs)/index.tsx	86	GET	/users/me/profile	/users/me/profile	PASS_MATCHED	11 /users/me/profile (backend/src/modules/users/users.controller.ts)
patient-app/app/(tabs)/nursing.tsx	54	GET	/home-care/services	/home-care/services	UNMATCHED_API_REVIEW	
patient-app/app/(tabs)/nursing.tsx	55	GET	/home-care/packages	/home-care/packages	UNMATCHED_API_REVIEW	
patient-app/app/(tabs)/pharmacy.tsx	72	GET	/medicines/categories	/medicines/categories	PASS_MATCHED	36 /medicines/categories (backend/src/modules/medicines/medicines.controller.ts)|54 /medicines/:id (backend/src/modules/medicines/medicines.controller.ts)
patient-app/app/(tabs)/pharmacy.tsx	126	GET	/medicines?${q.toString()}	/medicines	PASS_MATCHED	12 /medicines (backend/src/modules/medicines/medicines.controller.ts)
patient-app/app/community/hub.tsx	39	GET	/community/posts?page=1&limit=20	/community/posts	PASS_MATCHED	16 /community/posts (backend/src/modules/community/community.controller.ts)
patient-app/app/community/post-detail.tsx	49	PUT	/community/posts/${postId}	/community/posts/:id	UNMATCHED_API_REVIEW	
patient-app/app/community/post-detail.tsx	64	PUT	/community/posts/${postId}/vote	/community/posts/:id/vote	PASS_MATCHED	41 /community/posts/:id/vote (backend/src/modules/community/community.controller.ts)
patient-app/app/community/post-detail.tsx	78	POST	/community/posts/${postId}/comment	/community/posts/:id/comment	PASS_MATCHED	36 /community/posts/:id/comment (backend/src/modules/community/community.controller.ts)
patient-app/app/consultations/appointment-detail.tsx	153	POST	/patient/pay-copay	/patient/pay-copay	UNMATCHED_API_REVIEW	
patient-app/app/consultations/booking-confirm.tsx	77	GET	/insurance/coverage-check?provider_id=${encodeURIComponent(String(params.doctorId))}&service_type=consultation	/insurance/coverage-check	PASS_MATCHED	222 /insurance/coverage-check (backend/src/modules/insurance/insurance.module.ts)
patient-app/app/consultations/call-history.tsx	48	GET	/calls/history?page=${pageNum}&limit=20	/calls/history	PASS_MATCHED	69 /calls/history (backend/src/modules/livekit/livekit.controller.ts)
patient-app/app/consultations/chat-with-doctor.tsx	39	GET	/care/doctors/${doctorId}	/care/doctors/:id	PASS_MATCHED	60 /care/doctors/:id (backend/src/modules/care/care.controller.ts)
patient-app/app/consultations/chat-with-doctor.tsx	43	GET	/chat/history/${doctorId}	/chat/history/:id	UNMATCHED_API_REVIEW	
patient-app/app/consultations/chat-with-doctor.tsx	87	POST	/chat/send	/chat/send	UNMATCHED_API_REVIEW	
patient-app/app/consultations/clinic-location.tsx	32	GET	/care/appointments/${appointmentId}	/care/appointments/:id	PASS_MATCHED	24 /care/appointments/:id (backend/src/modules/care/appointments.controller.ts)
patient-app/app/consultations/doctor-profile.tsx	92	POST	/care/appointments/waitlist/join	/care/appointments/waitlist/join	PASS_MATCHED	29 /care/appointments/waitlist/join (backend/src/modules/care/appointments.controller.ts)
patient-app/app/consultations/doctor-search.tsx	43	GET	/care/doctors?${qs.toString()}	/care/doctors	PASS_MATCHED	29 /care/doctors (backend/src/modules/care/care.controller.ts)
patient-app/app/consultations/doctor/[id].tsx	75	GET	/care/doctors/${encodeURIComponent(id || 'd1')}	/care/doctors/:id	PASS_MATCHED	60 /care/doctors/:id (backend/src/modules/care/care.controller.ts)
patient-app/app/consultations/follow-up.tsx	27	POST	/consultations/${consultationId}	/consultations/:id	UNMATCHED_API_REVIEW	
patient-app/app/consultations/follow-up.tsx	41	POST	/consultations/${consultationId}/messages	/consultations/:id/messages	UNMATCHED_API_REVIEW	
patient-app/app/consultations/home-visit-tracking.tsx	29	GET	/care/appointments/${appointmentId}	/care/appointments/:id	PASS_MATCHED	24 /care/appointments/:id (backend/src/modules/care/appointments.controller.ts)
patient-app/app/consultations/incoming-call.tsx	64	POST	/calls/${sessionId}/reject	/calls/:id/reject	PASS_MATCHED	55 /calls/:sessionId/reject (backend/src/modules/livekit/livekit.controller.ts)
patient-app/app/consultations/offer/[id].tsx	43	GET	/promotions/offers/${id}/providers	/promotions/offers/:id/providers	UNMATCHED_API_REVIEW	
patient-app/app/consultations/post-call-rating.tsx	47	POST	/care/appointments/rating	/care/appointments/rating	UNMATCHED_API_REVIEW	
patient-app/app/consultations/prescription-from-doctor.tsx	39	GET	/prescriptions/active	/prescriptions/active	PASS_MATCHED	62 /prescriptions/:id (backend/src/modules/prescriptions/prescriptions.controller.ts)
patient-app/app/consultations/specialty-select.tsx	37	GET	/care/specialties	/care/specialties	PASS_MATCHED	11 /care/specialties (backend/src/modules/care/care.controller.ts)
patient-app/app/consultations/video-call.tsx	47	GET	/care/appointments/${appointmentId}/video-token	/care/appointments/:id/video-token	UNMATCHED_API_REVIEW	
patient-app/app/consultations/virtual-waiting-room.tsx	45	GET	/care/appointments/${appointmentId}	/care/appointments/:id	PASS_MATCHED	24 /care/appointments/:id (backend/src/modules/care/appointments.controller.ts)
patient-app/app/consultations/waiting-room.tsx	29	GET	/care/appointments/${appointmentId}	/care/appointments/:id	PASS_MATCHED	24 /care/appointments/:id (backend/src/modules/care/appointments.controller.ts)
patient-app/app/delivery/address-select.tsx	35	GET	/users/me/addresses	/users/me/addresses	PASS_MATCHED	11 /users/me/addresses (backend/src/modules/users/users.addresses.controller.ts)
patient-app/app/diagnostics/booking-confirm.tsx	91	POST	/cart/clear	/cart/clear	PASS_MATCHED	11 /cart/clear (backend/src/modules/cart/cart.controller.ts)|135 /cart/clear (backend/src/modules/cart/cart.module.ts)
patient-app/app/diagnostics/booking-confirm.tsx	96	POST	/cart/clear	/cart/clear	PASS_MATCHED	11 /cart/clear (backend/src/modules/cart/cart.controller.ts)|135 /cart/clear (backend/src/modules/cart/cart.module.ts)
patient-app/app/diagnostics/cart.tsx	30	GET	/labs/compatible-providers?testIds=${ids}	/labs/compatible-providers	PASS_MATCHED	168 /labs/compatible-providers (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/insurance-approval.tsx	37	GET	/orders/${orderId}	/orders/:id	PASS_MATCHED	49 /orders/:id (backend/src/modules/orders/orders.controller.ts)
patient-app/app/diagnostics/insurance-approval.tsx	78	PATCH	/orders/${orderId}/items/${item.id}/opt-in-cash	/orders/:id/items/:id/opt-in-cash	PASS_MATCHED	71 /orders/:id/items/:itemId/opt-in-cash (backend/src/modules/orders/orders.controller.ts)
patient-app/app/diagnostics/insurance-upload.tsx	58	GET	/providers?type=lab	/providers	PASS_MATCHED	20 /providers (backend/src/modules/providers/providers.controller.ts)
patient-app/app/diagnostics/insurance-upload.tsx	294	POST	/orders/create	/orders/create	PASS_MATCHED	13 /orders/create (backend/src/modules/orders/orders.controller.ts)
patient-app/app/diagnostics/lab-comparison.tsx	33	GET	/labs/services/${id}	/labs/services/:id	PASS_MATCHED	35 /labs/services/:id (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/lab-comparison.tsx	34	GET	/labs/compatible-providers?testIds=${id}	/labs/compatible-providers	PASS_MATCHED	168 /labs/compatible-providers (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/lab/[id].tsx	27	GET	/providers/${id}	/providers/:id	PASS_MATCHED	32 /providers/:id (backend/src/modules/providers/providers.controller.ts)
patient-app/app/diagnostics/lab/[id].tsx	28	GET	/labs/services?providerId=${id}	/labs/services	PASS_MATCHED	9 /labs/services (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/order/[id].tsx	36	POST	/orders/mine	/orders/mine	UNMATCHED_API_REVIEW	
patient-app/app/diagnostics/order/[id].tsx	54	POST	/orders/mine	/orders/mine	UNMATCHED_API_REVIEW	
patient-app/app/diagnostics/order/[id].tsx	69	GET	/orders/mine	/orders/mine	PASS_MATCHED	19 /orders/mine (backend/src/modules/orders/orders.controller.ts)|49 /orders/:id (backend/src/modules/orders/orders.controller.ts)
patient-app/app/diagnostics/orders.tsx	28	GET	/labs/bookings/mine	/labs/bookings/mine	PASS_MATCHED	41 /labs/bookings/mine (backend/src/modules/labs/labs.controller.ts)|44 /labs/bookings/:id (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/package-detail.tsx	26	GET	/labs/packages/${id}	/labs/packages/:id	PASS_MATCHED	163 /labs/packages/:id (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/packages.tsx	27	GET	/labs/packages	/labs/packages	PASS_MATCHED	29 /labs/packages (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/packages.tsx	28	GET	/labs/categories	/labs/categories	PASS_MATCHED	32 /labs/categories (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/search.tsx	28	GET	/labs/services	/labs/services	PASS_MATCHED	9 /labs/services (backend/src/modules/labs/labs.controller.ts)
patient-app/app/diagnostics/technician-tracking.tsx	34	GET	/labs/bookings/${bookingId}	/labs/bookings/:id	PASS_MATCHED	44 /labs/bookings/:id (backend/src/modules/labs/labs.controller.ts)
patient-app/app/drug-scanner/index.tsx	35	POST	/health/medications	/health/medications	UNMATCHED_API_REVIEW	
patient-app/app/drug-scanner/index.tsx	47	POST	/ai/drug-interactions	/ai/drug-interactions	UNMATCHED_API_REVIEW	
patient-app/app/emergency/sos-active.tsx	24	GET	/emergency/my-active	/emergency/my-active	PASS_MATCHED	22 /emergency/my-active (backend/src/modules/emergency/emergency.controller.ts)|28 /emergency/:id (backend/src/modules/emergency/emergency.controller.ts)
patient-app/app/emergency/tracking.tsx	31	GET	/emergency/tracking	/emergency/tracking	PASS_MATCHED	28 /emergency/:id (backend/src/modules/emergency/emergency.controller.ts)
patient-app/app/family/calendar.tsx	55	GET	/family/calendar	/family/calendar	PASS_MATCHED	73 /family/calendar (backend/src/modules/family/family.controller.ts)
patient-app/app/family/calendar.tsx	84	POST	/family/calendar/event	/family/calendar/event	PASS_MATCHED	67 /family/calendar/event (backend/src/modules/family/family.controller.ts)
patient-app/app/family/calendar.tsx	124	DELETE	/family/calendar/event/${id}	/family/calendar/event/:id	PASS_MATCHED	79 /family/calendar/event/:eventId (backend/src/modules/family/family.controller.ts)
patient-app/app/family/chat.tsx	35	GET	/family/chat/messages	/family/chat/messages	UNMATCHED_API_REVIEW	
patient-app/app/family/hub.tsx	84	GET	/family/members	/family/members	PASS_MATCHED	47 /family/members (backend/src/modules/family/family.controller.ts)
patient-app/app/family/invite.tsx	28	POST	/family/invite	/family/invite	PASS_MATCHED	29 /family/invite (backend/src/modules/family/family.controller.ts)
patient-app/app/family/join.tsx	32	POST	/family/join	/family/join	PASS_MATCHED	35 /family/join (backend/src/modules/family/family.controller.ts)
patient-app/app/family/member-health.tsx	46	GET	/family/member-health/${memberId}	/family/member-health/:id	PASS_MATCHED	53 /family/member-health/:userId (backend/src/modules/family/family.controller.ts)
patient-app/app/family/permission-request.tsx	22	GET	/family/permissions/pending	/family/permissions/pending	PASS_MATCHED	100 /family/permissions/pending (backend/src/modules/family/family.controller.ts)
patient-app/app/family/permission-request.tsx	49	PUT	/family/permissions/respond/${requestInfo._id || requestInfo.id}	/family/permissions/respond/:id	PASS_MATCHED	106 /family/permissions/respond/:requestId (backend/src/modules/family/family.controller.ts)
patient-app/app/family/permissions.tsx	133	POST	/family/permissions/request	/family/permissions/request	PASS_MATCHED	87 /family/permissions/request (backend/src/modules/family/family.controller.ts)
patient-app/app/family/permissions.tsx	165	DELETE	/family/remove-member/${memberId}	/family/remove-member/:id	PASS_MATCHED	41 /family/remove-member/:userId (backend/src/modules/family/family.controller.ts)
patient-app/app/family/shared-calendar.tsx	54	GET	/family/calendar	/family/calendar	PASS_MATCHED	73 /family/calendar (backend/src/modules/family/family.controller.ts)
patient-app/app/family/shared-calendar.tsx	83	POST	/family/calendar/event	/family/calendar/event	PASS_MATCHED	67 /family/calendar/event (backend/src/modules/family/family.controller.ts)
patient-app/app/family/shared-calendar.tsx	124	DELETE	/family/calendar/event/${id}	/family/calendar/event/:id	PASS_MATCHED	79 /family/calendar/event/:eventId (backend/src/modules/family/family.controller.ts)
