component	file	line	raw	normalized	classification	backend_candidates
patient	patient-app/app/(auth)/forgot-password.tsx	31	/auth/send-otp	/auth/send-otp	MATCHED_ROUTE	POST /auth/send-otp (backend/src/modules/auth/auth.controller.ts:126)
patient	patient-app/app/(auth)/login.tsx	100	/auth/social-login	/auth/social-login	MATCHED_ROUTE	POST /auth/social-login (backend/src/modules/auth/auth.controller.ts:148)
patient	patient-app/app/(auth)/login.tsx	113	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/login.tsx	158	/auth/login	/auth/login	MATCHED_ROUTE	POST /auth/login (backend/src/modules/auth/auth.controller.ts:41)
patient	patient-app/app/(auth)/login.tsx	184	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/login.tsx	287	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/login.tsx	311	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/login.tsx	351	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/otp.tsx	78	/auth/verify-otp	/auth/verify-otp	MATCHED_ROUTE	POST /auth/verify-otp (backend/src/modules/auth/auth.controller.ts:133)
patient	patient-app/app/(auth)/otp.tsx	91	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/otp.tsx	96	/auth/register	/auth/register	MATCHED_ROUTE	POST /auth/register (backend/src/modules/auth/auth.controller.ts:35)
patient	patient-app/app/(auth)/otp.tsx	116	/auth/convert-guest	/auth/convert-guest	MATCHED_ROUTE	POST /auth/convert-guest (backend/src/modules/auth/auth.controller.ts:64)
patient	patient-app/app/(auth)/otp.tsx	147	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/otp.tsx	149	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/provider-info.tsx	15	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/provider-info.tsx	19	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/register.tsx	121	/auth/social-login	/auth/social-login	MATCHED_ROUTE	POST /auth/social-login (backend/src/modules/auth/auth.controller.ts:148)
patient	patient-app/app/(auth)/register.tsx	134	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/register.tsx	175	/auth/send-otp	/auth/send-otp	MATCHED_ROUTE	POST /auth/send-otp (backend/src/modules/auth/auth.controller.ts:126)
patient	patient-app/app/(auth)/register.tsx	280	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/register.tsx	331	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/reset-password.tsx	33	/auth/reset-password	/auth/reset-password	MATCHED_ROUTE	POST /auth/reset-password (backend/src/modules/auth/auth.controller.ts:140)
patient	patient-app/app/(auth)/reset-password.tsx	76	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/welcome.tsx	32	/auth/guest	/auth/guest	MATCHED_ROUTE	POST /auth/guest (backend/src/modules/auth/auth.controller.ts:59)
patient	patient-app/app/(auth)/welcome.tsx	35	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/welcome.tsx	48	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(auth)/welcome.tsx	49	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
