consumer	file	line	method	path	backend_match	classification
patient	patient-app/app/(auth)/forgot-password.tsx	18	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	31	UNKNOWN	/auth/send-otp	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	36	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	68	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	111	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	116	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	119	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/forgot-password.tsx	122	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	24	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	100	UNKNOWN	/auth/social-login	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	113	UNKNOWN	/(tabs	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	158	UNKNOWN	/auth/login	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	184	UNKNOWN	/(tabs	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	224	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	278	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	287	UNKNOWN	/(auth	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	301	UNKNOWN	UI_ACTION_REVIEW	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
patient	patient-app/app/(auth)/login.tsx	311	UNKNOWN	/(auth	NOT_FOUND_IN_CONTROLLER_LITERALS	ROUTE_REVIEW
