group	file	decision	main	verify
chronic_health	app/health/chronic-medications.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 6418, ""sha"": ""b785f4efd7db"", ""api"": 5, ""actions"": 6, ""states"": 6, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 8918, ""sha"": ""242f7c413ac9"", ""api"": 3, ""actions"": 13, ""states"": 26, ""risk"": 0, ""redirect_only"": false}"
chronic_health	app/health/conditions-allergies.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 10518, ""sha"": ""ce2225d71978"", ""api"": 3, ""actions"": 11, ""states"": 9, ""risk"": 3, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 6425, ""sha"": ""d70f0c111035"", ""api"": 4, ""actions"": 7, ""states"": 20, ""risk"": 6, ""redirect_only"": false}"
profile	app/health/edit-profile.tsx	VERIFY_CANDIDATE_REVIEW	"{""exists"": true, ""bytes"": 21490, ""sha"": ""f3b8392ae440"", ""api"": 5, ""actions"": 17, ""states"": 2, ""risk"": 5, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 9422, ""sha"": ""920cb8b9dc22"", ""api"": 6, ""actions"": 8, ""states"": 28, ""risk"": 2, ""redirect_only"": false}"
medication_reminders	app/health/medication-reminder-add.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 12747, ""sha"": ""ab22409e5d21"", ""api"": 2, ""actions"": 19, ""states"": 1, ""risk"": 2, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 12590, ""sha"": ""81075056982b"", ""api"": 3, ""actions"": 5, ""states"": 23, ""risk"": 9, ""redirect_only"": false}"
medication_reminders	app/health/medication-reminder-list.tsx	VERIFY_CANDIDATE_REVIEW	"{""exists"": true, ""bytes"": 9923, ""sha"": ""b834d413d916"", ""api"": 3, ""actions"": 8, ""states"": 4, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 11557, ""sha"": ""19a889dbe23c"", ""api"": 4, ""actions"": 17, ""states"": 33, ""risk"": 0, ""redirect_only"": false}"
chronic_health	app/health/medications.tsx	VERIFY_CANDIDATE_REVIEW	"{""exists"": true, ""bytes"": 4253, ""sha"": ""b70e3b351f53"", ""api"": 0, ""actions"": 2, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 7224, ""sha"": ""e0defff9a005"", ""api"": 2, ""actions"": 12, ""states"": 16, ""risk"": 0, ""redirect_only"": false}"
medication_reorder	app/health/refills.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 10518, ""sha"": ""b9f9f706b380"", ""api"": 3, ""actions"": 5, ""states"": 22, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 10518, ""sha"": ""b9f9f706b380"", ""api"": 3, ""actions"": 5, ""states"": 22, ""risk"": 1, ""redirect_only"": false}"
medication_reminders	app/health/reminders.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 10488, ""sha"": ""ff6fb0f2aaa7"", ""api"": 3, ""actions"": 5, ""states"": 7, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 271, ""sha"": ""18d77cf12a8a"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
medication_reminders	app/health/smart-reminders.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 13550, ""sha"": ""297967ead9e8"", ""api"": 5, ""actions"": 12, ""states"": 16, ""risk"": 6, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 271, ""sha"": ""5232e24ffb77"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
maternity_cycle	app/maternity/baby-development.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 41026, ""sha"": ""52d1cb33a8bb"", ""api"": 2, ""actions"": 8, ""states"": 1, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 223, ""sha"": ""7665fd8bcc2b"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
