file	line	method	endpoint	source
admin-app/web-admin/src/pages/admin/ai-control.tsx	23	POST	/ai/admin/gateway	apiFetch
admin-app/web-admin/src/pages/admin/ai-control.tsx	24	POST	/ai/admin/usage?days=${days}	apiFetch
admin-app/web-admin/src/pages/admin/ai-control.tsx	33	POST	/ai/admin/gateway/provider/${key}	apiFetch
admin-app/web-admin/src/pages/admin/ai-control.tsx	39	POST	/ai/admin/gateway/mode	apiFetch
admin-app/web-admin/src/pages/admin/analytics.tsx	19	GET	/admin/analytics/overview	apiFetch
admin-app/web-admin/src/pages/admin/analytics.tsx	24	GET	/admin/analytics/${section}?limit=15	apiFetch
admin-app/web-admin/src/pages/admin/commissions.tsx	30	GET	/admin/finance/ledger/summary	apiFetch
admin-app/web-admin/src/pages/admin/commissions.tsx	31	GET	/admin/finance/commissions	apiFetch
admin-app/web-admin/src/pages/admin/health-dashboard.tsx	9	GET	/admin/health-dashboard	apiFetch
admin-app/web-admin/src/pages/admin/image-suggestions.tsx	23	POST	/medicines/admin/image-suggestions?status=${tab}&page=${page}&limit=20	apiFetch
admin-app/web-admin/src/pages/admin/image-suggestions.tsx	40	POST	/medicines/admin/image-suggestions/${id}/${action}	apiFetch
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	46	PATCH	/insurance/companies/all	apiFetch
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	61	PATCH	/insurance/companies/${id}	apiFetch
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	80	POST	/insurance/companies	apiFetch
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	98	PATCH	/insurance/companies/${editId}	apiFetch
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	118	POST	/insurance/companies/${tierCompany}/networks	apiFetch
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	141	DELETE	/insurance/companies/${companyId}/networks/${tier.id || tier._id}	apiFetch
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	36	POST	/admin/insurance/stats	apiFetch
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	37	POST	/admin/insurance/requests${stateFilter ?	apiFetch
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	38	POST	/admin/finance/refunds/queue	apiFetch
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	54	POST	/admin/finance/refunds/${id}/decide	apiFetch
admin-app/web-admin/src/pages/admin/legal-policies.tsx	13	PUT	/legal/policies	apiFetch
admin-app/web-admin/src/pages/admin/legal-policies.tsx	14	PUT	/admin/finance/commissions	apiFetch
admin-app/web-admin/src/pages/admin/legal-policies.tsx	22	PUT	/legal/policy/${key}	apiFetch
admin-app/web-admin/src/pages/admin/legal-policies.tsx	29	PUT	/admin/legal/policy/${editing}	apiFetch
admin-app/web-admin/src/pages/admin/legal-policies.tsx	40	PUT	/admin/finance/commissions	apiFetch
admin-app/web-admin/src/pages/admin/legal-policies.tsx	45	PUT	/admin/finance/commissions	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	44	POST	/storage/upload	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	48	GET	/storage/${up.id}/signed-url	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	94	GET	/medicines/admin/catalog?${params.toString()}	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	107	GET	/medicines/admin/change-requests?status=${reqStatus}&page=1&limit=50	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	114	GET	/medicines/admin/reports	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	152	POST	/medicines/admin/catalog	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	154	PATCH	/medicines/admin/catalog/${editId}	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	167	POST	/medicines/admin/catalog/${m.id}/delete	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	176	POST	/medicines/admin/catalog/${m.id}/availability	apiFetch
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	201	POST	/medicines/admin/change-requests/${id}/${action}	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	36	GET	/admin/notification-center/stats/overview	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	37	GET	/admin/notification-center/segments	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	38	GET	/admin/notification-center/campaigns?page=${page}&limit=15	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	64	POST	/admin/notification-center/campaigns	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	67	POST	/admin/notification-center/broadcasts	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	81	POST	/admin/notification-center/campaigns/${id}/send	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	87	DELETE	/admin/notification-center/campaigns/${id}	apiFetch
admin-app/web-admin/src/pages/admin/notification-center.tsx	92	POST	/admin/notification-center/retarget/run	apiFetch
admin-app/web-admin/src/pages/admin/nursing-portal.tsx	15	POST	/admin/nursing/requests	apiFetch
admin-app/web-admin/src/pages/admin/nursing-portal.tsx	29	POST	/admin/nursing/requests/${requestId}/assign	apiFetch
admin-app/web-admin/src/pages/admin/order-detail.tsx	26	GET	/admin/command-center/order/${encodeURIComponent(kind)}/${encodeURIComponent(id)}	apiFetch
admin-app/web-admin/src/pages/admin/payouts.tsx	34	POST	/admin/finance/withdrawals/pending	apiFetch
admin-app/web-admin/src/pages/admin/payouts.tsx	48	POST	/admin/finance/withdrawals/${id}/execute	apiFetch
admin-app/web-admin/src/pages/admin/payouts.tsx	58	POST	/admin/finance/withdrawals/${id}/reject	apiFetch
admin-app/web-admin/src/pages/admin/pharmacy-procurement.tsx	40	GET	/admin/extended-operations/procurement/pending	apiFetch
