file	line	method	endpoint	normalized	classification	backend_candidates
admin-app/web-admin/src/pages/admin/ai-control.tsx	23	POST	/ai/admin/gateway	/ai/admin/gateway	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/ai-control.tsx	24	POST	/ai/admin/usage?days=${days}	/ai/admin/usage	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/ai-control.tsx	33	POST	/ai/admin/gateway/provider/${key}	/ai/admin/gateway/provider/:id	PASS_MATCHED	POST /ai/admin/gateway/provider/:key (backend/src/modules/ai/ai.controller.ts:34)
admin-app/web-admin/src/pages/admin/ai-control.tsx	39	POST	/ai/admin/gateway/mode	/ai/admin/gateway/mode	PASS_MATCHED	POST /ai/admin/gateway/mode (backend/src/modules/ai/ai.controller.ts:41)
admin-app/web-admin/src/pages/admin/analytics.tsx	19	GET	/admin/analytics/overview	/admin/analytics/overview	PASS_MATCHED	GET /admin/analytics/overview (backend/src/modules/analytics/analytics.module.ts:126)
admin-app/web-admin/src/pages/admin/analytics.tsx	24	GET	/admin/analytics/${section}?limit=15	/admin/analytics/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/commissions.tsx	30	GET	/admin/finance/ledger/summary	/admin/finance/ledger/summary	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/commissions.tsx	31	GET	/admin/finance/commissions	/admin/finance/commissions	PASS_MATCHED	GET /admin/finance/commissions (backend/src/modules/admin-web-core/controllers/finance.controller.ts:31)|GET /admin/finance/commissions (backend/src/modules/legal/legal.module.ts:187)
admin-app/web-admin/src/pages/admin/health-dashboard.tsx	9	GET	/admin/health-dashboard	/admin/health-dashboard	PASS_MATCHED	GET /admin/health-dashboard (backend/src/modules/health/health-dashboard.controller.ts:31)
admin-app/web-admin/src/pages/admin/image-suggestions.tsx	23	POST	/medicines/admin/image-suggestions?status=${tab}&page=${page}&limit=20	/medicines/admin/image-suggestions	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/image-suggestions.tsx	40	POST	/medicines/admin/image-suggestions/${id}/${action}	/medicines/admin/image-suggestions/:id/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	46	PATCH	/insurance/companies/all	/insurance/companies/all	PASS_MATCHED	PATCH /insurance/companies/:id (backend/src/modules/insurance/insurance.module.ts:381)
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	61	PATCH	/insurance/companies/${id}	/insurance/companies/:id	PASS_MATCHED	PATCH /insurance/companies/:id (backend/src/modules/insurance/insurance.module.ts:381)
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	80	POST	/insurance/companies	/insurance/companies	PASS_MATCHED	POST /insurance/companies (backend/src/modules/insurance/insurance.module.ts:374)
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	98	PATCH	/insurance/companies/${editId}	/insurance/companies/:id	PASS_MATCHED	PATCH /insurance/companies/:id (backend/src/modules/insurance/insurance.module.ts:381)
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	118	POST	/insurance/companies/${tierCompany}/networks	/insurance/companies/:id/networks	PASS_MATCHED	POST /insurance/companies/:companyId/networks (backend/src/modules/insurance/insurance.module.ts:405)
admin-app/web-admin/src/pages/admin/insurance-companies.tsx	141	DELETE	/insurance/companies/${companyId}/networks/${tier.id || tier._id}	/insurance/companies/:id/networks/:id	PASS_MATCHED	DELETE /insurance/companies/:companyId/networks/:networkId (backend/src/modules/insurance/insurance.module.ts:393)
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	36	POST	/admin/insurance/stats	/admin/insurance/stats	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	37	POST	/admin/insurance/requests${stateFilter ?	/admin/insurance/requests${stateFilter 	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	38	POST	/admin/finance/refunds/queue	/admin/finance/refunds/queue	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/insurance-queue.tsx	54	POST	/admin/finance/refunds/${id}/decide	/admin/finance/refunds/:id/decide	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/legal-policies.tsx	13	PUT	/legal/policies	/legal/policies	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/legal-policies.tsx	14	PUT	/admin/finance/commissions	/admin/finance/commissions	PASS_MATCHED	PUT /admin/finance/commissions (backend/src/modules/legal/legal.module.ts:192)
admin-app/web-admin/src/pages/admin/legal-policies.tsx	22	PUT	/legal/policy/${key}	/legal/policy/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/legal-policies.tsx	29	PUT	/admin/legal/policy/${editing}	/admin/legal/policy/:id	PASS_MATCHED	PUT /admin/legal/policy/:key (backend/src/modules/legal/legal.module.ts:180)
admin-app/web-admin/src/pages/admin/legal-policies.tsx	40	PUT	/admin/finance/commissions	/admin/finance/commissions	PASS_MATCHED	PUT /admin/finance/commissions (backend/src/modules/legal/legal.module.ts:192)
admin-app/web-admin/src/pages/admin/legal-policies.tsx	45	PUT	/admin/finance/commissions	/admin/finance/commissions	PASS_MATCHED	PUT /admin/finance/commissions (backend/src/modules/legal/legal.module.ts:192)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	44	POST	/storage/upload	/storage/upload	PASS_MATCHED	POST /storage/upload (backend/src/modules/storage/storage.module.ts:351)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	48	GET	/storage/${up.id}/signed-url	/storage/:id/signed-url	PASS_MATCHED	GET /storage/:id/signed-url (backend/src/modules/storage/storage.module.ts:372)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	94	GET	/medicines/admin/catalog?${params.toString()}	/medicines/admin/catalog	PASS_MATCHED	GET /medicines/admin/catalog (backend/src/modules/medicines/medicines.controller.ts:230)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	107	GET	/medicines/admin/change-requests?status=${reqStatus}&page=1&limit=50	/medicines/admin/change-requests	PASS_MATCHED	GET /medicines/admin/change-requests (backend/src/modules/medicines/medicines.controller.ts:202)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	114	GET	/medicines/admin/reports	/medicines/admin/reports	PASS_MATCHED	GET /medicines/admin/reports (backend/src/modules/medicines/medicines.controller.ts:261)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	152	POST	/medicines/admin/catalog	/medicines/admin/catalog	PASS_MATCHED	POST /medicines/admin/catalog (backend/src/modules/medicines/medicines.controller.ts:247)|POST /medicines/admin/catalog (backend/src/modules/medicines/medicines.controller.ts:305)
