file	line	method	route
backend/src/health.controller.ts	15	GET	/
backend/src/health.controller.ts	26	GET	/health/liveness
backend/src/health.controller.ts	32	GET	/health/readiness
backend/src/modules/admin-authority/admin-authority.module.ts	256	POST	/admin/authority/appointments/:id/force-cancel
backend/src/modules/admin-authority/admin-authority.module.ts	257	POST	/admin/authority/appointments/:id/force-confirm
backend/src/modules/admin-authority/admin-authority.module.ts	258	POST	/admin/authority/appointments/:id/force-reschedule
backend/src/modules/admin-authority/admin-authority.module.ts	259	POST	/admin/authority/orders/:id/force-cancel
backend/src/modules/admin-authority/admin-authority.module.ts	260	POST	/admin/authority/orders/:id/force-complete
backend/src/modules/admin-authority/admin-authority.module.ts	261	POST	/admin/authority/orders/:id/force-reassign
backend/src/modules/admin-authority/admin-authority.module.ts	263	POST	/admin/authority/labs/:id/force-cancel
backend/src/modules/admin-authority/admin-authority.module.ts	264	POST	/admin/authority/labs/:id/force-complete
backend/src/modules/admin-authority/admin-authority.module.ts	265	POST	/admin/authority/labs/:id/override-insurance
backend/src/modules/admin-authority/admin-authority.module.ts	267	POST	/admin/authority/radiology/:id/force-cancel
backend/src/modules/admin-authority/admin-authority.module.ts	268	POST	/admin/authority/radiology/:id/force-complete
backend/src/modules/admin-authority/admin-authority.module.ts	269	POST	/admin/authority/radiology/:id/override-insurance
backend/src/modules/admin-authority/admin-authority.module.ts	271	POST	/admin/authority/providers/:id/suspend
backend/src/modules/admin-authority/admin-authority.module.ts	272	POST	/admin/authority/providers/:id/unsuspend
backend/src/modules/admin-authority/admin-authority.module.ts	273	POST	/admin/authority/users/:id/impersonate
backend/src/modules/admin-authority/admin-authority.module.ts	275	GET	/admin/authority/actions
backend/src/modules/admin-command-center/admin-command-center.module.ts	152	GET	/admin/command-center
backend/src/modules/admin-command-center/admin-command-center.module.ts	153	GET	/admin/command-center/order/:kind/:id
backend/src/modules/admin-governance/admin-governance.module.ts	238	GET	/admin/governance/summary
backend/src/modules/admin-governance/admin-governance.module.ts	239	GET	/admin/governance/providers-performance
backend/src/modules/admin-governance/admin-governance.module.ts	240	GET	/admin/governance/patient/:id
backend/src/modules/admin-governance/admin-governance.module.ts	241	GET	/admin/governance/trace/:entity_type/:entity_id
backend/src/modules/admin-governance/admin-governance.module.ts	261	GET	/admin/governance
backend/src/modules/admin-governance/admin-governance.module.ts	270	POST	/admin/governance/:key
backend/src/modules/admin-governance/admin-governance.module.ts	301	GET	/admin/governance
backend/src/modules/admin-governance/admin-governance.module.ts	338	PUT	/admin/governance/:id
backend/src/modules/admin-governance/b2b.controller.ts	15	GET	/b2b/requests
backend/src/modules/admin-governance/b2b.controller.ts	24	POST	/b2b/requests/:id/approve
backend/src/modules/admin-governance/b2b.controller.ts	34	POST	/b2b/requests/:id/reject
backend/src/modules/admin-governance/system-config.controller.ts	19	GET	/admin/governance/system-config
backend/src/modules/admin-governance/system-config.controller.ts	31	PUT	/admin/governance/system-config
backend/src/modules/admin-notification-center/admin-notification-center.module.ts	346	GET	/admin/notification-center/segments
backend/src/modules/admin-notification-center/admin-notification-center.module.ts	350	GET	/admin/notification-center/stats/overview
