component	file	line	endpoints	classification	marker
patient	patient-app/nabd_plus/app/index.tsx	37	/(auth	WIRED_CANDIDATE	"router.replace(""/(auth)/welcome"");"
patient	patient-app/nabd_plus/app/index.tsx	39	/(tabs	WIRED_CANDIDATE	"router.replace(""/(tabs)"");"
patient	patient-app/nabd_plus/app/index.tsx	42	/(auth	WIRED_CANDIDATE	"router.replace(""/(auth)/welcome"");"
patient	patient-app/nabd_plus/app/_layout.tsx	60	/auth/guest	WIRED_CANDIDATE	const res: any = await apiFetch('/auth/guest', { method: 'POST', body: JSON.stringify({ deviceId }) });
patient	patient-app/nabd_plus/app/ai-assistant.tsx	135	/ai/prescription-translator	WIRED_CANDIDATE	onPress={() => router.push('/ai/prescription-translator')}
patient	patient-app/nabd_plus/app/ai-assistant.tsx	140		UI_ACTION_REVIEW	onChangeText={setInput}
patient	patient-app/nabd_plus/app/ai-assistant.tsx	142		UI_ACTION_REVIEW	onSubmitEditing={sendMessage}
patient	patient-app/nabd_plus/app/ai-assistant.tsx	150		UI_ACTION_REVIEW	onPress={sendMessage}
patient	patient-app/nabd_plus/utils/api.ts	10		UI_ACTION_REVIEW	* The exported signature is intentionally unchanged (`apiFetch(endpoint, options)`)
patient	patient-app/nabd_plus/app/support/chat.tsx	129		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => router.back()} style={styles.hBtn}>
patient	patient-app/nabd_plus/app/support/chat.tsx	199		FAIL_CLOSED_REVIEW	onPress={() => sendMessage(qr)}
patient	patient-app/nabd_plus/app/support/chat.tsx	226		UI_ACTION_REVIEW	onPress={() => sendMessage(inputText)}
patient	patient-app/nabd_plus/app/support/chat.tsx	241		UI_ACTION_REVIEW	onChangeText={setInputText}
patient	patient-app/nabd_plus/app/support/chat.tsx	245		UI_ACTION_REVIEW	onSubmitEditing={() => sendMessage(inputText)}
patient	patient-app/nabd_plus/app/support/chat.tsx	250		UI_ACTION_REVIEW	onPress={async () => {
patient	patient-app/nabd_plus/app/support/ticket.tsx	44	/support/chat	WIRED_CANDIDATE	"onPress={() => router.push(""/support/chat"")}"
patient	patient-app/nabd_plus/app/support/ticket.tsx	50		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => router.back()}>
patient	patient-app/nabd_plus/app/support/ticket.tsx	69	/support/chat	WIRED_CANDIDATE	"onPress={() => router.push(""/support/chat"")}"
patient	patient-app/nabd_plus/app/community/hub.tsx	59		UI_ACTION_REVIEW	const res = await apiFetch(`/community/posts?page=1&limit=20${qs}`);
patient	patient-app/nabd_plus/app/community/hub.tsx	74	/community/posts	WIRED_CANDIDATE	"await apiFetch(""/community/posts"", {"
patient	patient-app/nabd_plus/app/community/hub.tsx	98		UI_ACTION_REVIEW	onPress={() => setShowComposer(true)}
patient	patient-app/nabd_plus/app/community/hub.tsx	107		UI_ACTION_REVIEW	onPress={() => router.back()}
patient	patient-app/nabd_plus/app/community/hub.tsx	143		UI_ACTION_REVIEW	onPress={() => setActiveCategory(cat.key)}
patient	patient-app/nabd_plus/app/community/hub.tsx	171		UI_ACTION_REVIEW	onPress={() =>
patient	patient-app/nabd_plus/app/community/hub.tsx	172		UI_ACTION_REVIEW	router.push({
patient	patient-app/nabd_plus/app/community/hub.tsx	238		UI_ACTION_REVIEW	onPress={() => setPostCategory(c.key)}
patient	patient-app/nabd_plus/app/community/hub.tsx	248		UI_ACTION_REVIEW	onChangeText={setPostText}
patient	patient-app/nabd_plus/app/community/hub.tsx	260		UI_ACTION_REVIEW	onPress={publishPost}
patient	patient-app/nabd_plus/app/community/hub.tsx	264		UI_ACTION_REVIEW	"<Button label=""إلغاء"" variant=""ghost"" onPress={() => setShowComposer(false)} />"
patient	patient-app/nabd_plus/app/community/post-detail.tsx	53		UI_ACTION_REVIEW	const res = await apiFetch(`/community/posts/${postId}`);
patient	patient-app/nabd_plus/app/community/post-detail.tsx	68		UI_ACTION_REVIEW	const res = await apiFetch(`/community/posts/${postId}/vote`, {
patient	patient-app/nabd_plus/app/community/post-detail.tsx	87		UI_ACTION_REVIEW	const res = await apiFetch(`/community/posts/${postId}/comment`, {
patient	patient-app/nabd_plus/app/community/post-detail.tsx	132		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => router.back()}>
patient	patient-app/nabd_plus/app/community/post-detail.tsx	178		UI_ACTION_REVIEW	onPress={async () => {
patient	patient-app/nabd_plus/app/community/post-detail.tsx	189		UI_ACTION_REVIEW	onPress={() => commentsRef.current?.scrollToEnd?.({ animated: true })}
patient	patient-app/nabd_plus/app/community/post-detail.tsx	194		UI_ACTION_REVIEW	<TouchableOpacity style={styles.actionBtn} onPress={handleVote}>
patient	patient-app/nabd_plus/app/community/post-detail.tsx	257		UI_ACTION_REVIEW	onPress={sendComment}
patient	patient-app/nabd_plus/app/community/post-detail.tsx	273		UI_ACTION_REVIEW	onChangeText={setComment}
patient	patient-app/nabd_plus/app/community/post-detail.tsx	277		UI_ACTION_REVIEW	onSubmitEditing={sendComment}
patient	patient-app/nabd_plus/app/reports/hub.tsx	71	/medical-reports/mine?limit=100	WIRED_CANDIDATE	"const res = await apiFetch(""/medical-reports/mine?limit=100"");"
patient	patient-app/nabd_plus/app/reports/hub.tsx	110		UI_ACTION_REVIEW	onPress={() => router.back()}
patient	patient-app/nabd_plus/app/reports/hub.tsx	143		UI_ACTION_REVIEW	onPress={() => setFilter(f.key)}
patient	patient-app/nabd_plus/app/reports/hub.tsx	154		UI_ACTION_REVIEW	"<Button label=""إعادة المحاولة"" size=""sm"" full={false} onPress={() => { setLoading(true); load(); }} />"
patient	patient-app/nabd_plus/app/reports/hub.tsx	178		UI_ACTION_REVIEW	onPress={() =>
patient	patient-app/nabd_plus/app/reports/hub.tsx	179		UI_ACTION_REVIEW	router.push({
