component	file	line	marker	text
patient	patient-app/app/(auth)/forgot-password.tsx	18	contract	import { apiFetch } from "../../src/utils/api";
patient	patient-app/app/(auth)/forgot-password.tsx	31	contract	 await apiFetch('/auth/send-otp', {
patient	patient-app/app/(auth)/forgot-password.tsx	36	contract	 router.push({
patient	patient-app/app/(auth)/forgot-password.tsx	68	contract	 onPress={() => router.back()}
patient	patient-app/app/(auth)/forgot-password.tsx	111	contract	 <Button
patient	patient-app/app/(auth)/forgot-password.tsx	116	contract	 onPress={handleSend}
patient	patient-app/app/(auth)/forgot-password.tsx	119	contract	 <Button
patient	patient-app/app/(auth)/forgot-password.tsx	122	contract	 onPress={() => router.back()}
patient	patient-app/app/(auth)/login.tsx	24	contract	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(auth)/login.tsx	100	contract	 const res = await apiFetch('/auth/social-login', {
patient	patient-app/app/(auth)/login.tsx	113	contract	 router.replace('/(tabs)');
patient	patient-app/app/(auth)/login.tsx	158	contract	 const res = await apiFetch('/auth/login', {
patient	patient-app/app/(auth)/login.tsx	184	contract	 router.replace('/(tabs)');
patient	patient-app/app/(auth)/login.tsx	224	contract	 <TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
patient	patient-app/app/(auth)/login.tsx	278	contract	 <TouchableOpacity onPress={() => setShowPassword(!showPassword)} style={{ padding: 10 }}>
patient	patient-app/app/(auth)/login.tsx	287	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/forgot-password')}>
patient	patient-app/app/(auth)/login.tsx	301	contract	 onPress={handleLogin} 
patient	patient-app/app/(auth)/login.tsx	311	contract	 onPress={() => router.push({ pathname: '/(auth)/otp', params: { phone: '+966' + phone.replace(/^0+/, ''), mode: 'login' } })} 
patient	patient-app/app/(auth)/login.tsx	327	contract	 <TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	333	contract	 <TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	339	contract	 <TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	344	contract	 <TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	351	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/register')}>
patient	patient-app/app/(auth)/otp.tsx	22	contract	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(auth)/otp.tsx	78	contract	 const resOtp = await apiFetch('/auth/verify-otp', {
patient	patient-app/app/(auth)/otp.tsx	91	contract	 router.replace({ pathname: '/(auth)/reset-password', params: { email: emailParam } });
patient	patient-app/app/(auth)/otp.tsx	96	contract	 const regRes = await apiFetch('/auth/register', {
patient	patient-app/app/(auth)/otp.tsx	116	contract	 const convertRes = await apiFetch<any>('/auth/convert-guest', {
patient	patient-app/app/(auth)/otp.tsx	147	contract	 router.replace('/(auth)/provider-info' as any);
patient	patient-app/app/(auth)/otp.tsx	149	contract	 router.replace('/(tabs)');
patient	patient-app/app/(auth)/otp.tsx	163	contract	 <TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
patient	patient-app/app/(auth)/otp.tsx	206	contract	 <TouchableOpacity onPress={() => { setTimer(60); setOtp(['', '', '', '', '', '']); }}>
patient	patient-app/app/(auth)/otp.tsx	213	contract	 onPress={handleConfirm} 
patient	patient-app/app/(auth)/privacy.tsx	36	contract	 onPress={() => router.back()}
patient	patient-app/app/(auth)/provider-info.tsx	15	contract	 router.replace("/(tabs)");
patient	patient-app/app/(auth)/provider-info.tsx	19	contract	 router.replace("/(auth)/login");
patient	patient-app/app/(auth)/provider-info.tsx	58	contract	 <Button
patient	patient-app/app/(auth)/provider-info.tsx	62	contract	 onPress={handleContinueAsPatient}
patient	patient-app/app/(auth)/provider-info.tsx	65	contract	 <TouchableOpacity onPress={handleLogout} style={st.logoutBtn}>
patient	patient-app/app/(auth)/register.tsx	20	contract	import { apiFetch } from '../../src/utils/api';
