component	file	line	endpoints	classification	marker
patient	patient-app/app/(auth)/forgot-password.tsx	18		UI_ACTION_REVIEW	"import { apiFetch } from ""../../src/utils/api"";"
patient	patient-app/app/(auth)/forgot-password.tsx	31	/auth/send-otp	WIRED_CANDIDATE	await apiFetch('/auth/send-otp', {
patient	patient-app/app/(auth)/forgot-password.tsx	36		UI_ACTION_REVIEW	router.push({
patient	patient-app/app/(auth)/forgot-password.tsx	68		UI_ACTION_REVIEW	onPress={() => router.back()}
patient	patient-app/app/(auth)/forgot-password.tsx	111		UI_ACTION_REVIEW	<Button
patient	patient-app/app/(auth)/forgot-password.tsx	116		UI_ACTION_REVIEW	onPress={handleSend}
patient	patient-app/app/(auth)/forgot-password.tsx	119		UI_ACTION_REVIEW	<Button
patient	patient-app/app/(auth)/forgot-password.tsx	122		UI_ACTION_REVIEW	onPress={() => router.back()}
patient	patient-app/app/(auth)/login.tsx	24		UI_ACTION_REVIEW	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(auth)/login.tsx	100	/auth/social-login	WIRED_CANDIDATE	const res = await apiFetch('/auth/social-login', {
patient	patient-app/app/(auth)/login.tsx	113	/(tabs	WIRED_CANDIDATE	router.replace('/(tabs)');
patient	patient-app/app/(auth)/login.tsx	158	/auth/login	WIRED_CANDIDATE	const res = await apiFetch('/auth/login', {
patient	patient-app/app/(auth)/login.tsx	184	/(tabs	WIRED_CANDIDATE	router.replace('/(tabs)');
patient	patient-app/app/(auth)/login.tsx	224		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
patient	patient-app/app/(auth)/login.tsx	278		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setShowPassword(!showPassword)} style={{ padding: 10 }}>
patient	patient-app/app/(auth)/login.tsx	287	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/forgot-password')}>
patient	patient-app/app/(auth)/login.tsx	301		UI_ACTION_REVIEW	onPress={handleLogin}
patient	patient-app/app/(auth)/login.tsx	311	/(auth	WIRED_CANDIDATE	onPress={() => router.push({ pathname: '/(auth)/otp', params: { phone: '+966' + phone.replace(/^0+/, ''), mode: 'login' } })}
patient	patient-app/app/(auth)/login.tsx	327		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	333		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	339		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	344		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/login.tsx	351	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/register')}>
patient	patient-app/app/(auth)/otp.tsx	22		UI_ACTION_REVIEW	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(auth)/otp.tsx	78	/auth/verify-otp	WIRED_CANDIDATE	const resOtp = await apiFetch('/auth/verify-otp', {
patient	patient-app/app/(auth)/otp.tsx	91	/(auth	WIRED_CANDIDATE	router.replace({ pathname: '/(auth)/reset-password', params: { email: emailParam } });
