component	file	line	raw	normalized	review_class
patient	patient-app/app/(auth)/login.tsx	113	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/login.tsx	184	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/login.tsx	287	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/login.tsx	311	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/login.tsx	351	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/otp.tsx	91	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/otp.tsx	147	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/otp.tsx	149	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/provider-info.tsx	15	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/provider-info.tsx	19	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/register.tsx	134	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/register.tsx	280	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/register.tsx	331	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/reset-password.tsx	76	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	35	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	48	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	49	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	50	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	185	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	191	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	197	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(auth)/welcome.tsx	202	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(onboarding)/index.tsx	87	/(onboarding	/(onboarding	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(onboarding)/index.tsx	97	/(onboarding	/(onboarding	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(onboarding)/language.tsx	58	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(onboarding)/permissions.tsx	74	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(tabs)/consultations/index.tsx	31	/ai-assistant	/ai-assistant	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/diagnostics.tsx	93	/diagnostics/orders	/diagnostics/orders	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/diagnostics.tsx	175	/diagnostics/insurance-upload	/diagnostics/insurance-upload	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/diagnostics.tsx	194	/diagnostics/packages	/diagnostics/packages	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/diagnostics.tsx	352	/diagnostics/checkout	/diagnostics/checkout	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/diagnostics.tsx	372	/diagnostics/cart	/diagnostics/cart	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/health.tsx	144	/health/health-id	/health/health-id	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/health.tsx	155	/health/edit-profile	/health/edit-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/health.tsx	262	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/(tabs)/health.tsx	291	/consultations/appointments	/consultations/appointments	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/index.tsx	189	/search	/search	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/nursing.tsx	54	/home-care/services	/home-care/services	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/nursing.tsx	55	/home-care/packages	/home-care/packages	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	225	/pharmacy/barcode-scanner	/pharmacy/barcode-scanner	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	237	/pharmacy/filters	/pharmacy/filters	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	254	/pharmacy/scan-prescription	/pharmacy/scan-prescription	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	278	/pharmacy/order-history	/pharmacy/order-history	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	351	/pharmacy/manual-order	/pharmacy/manual-order	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	364	/pharmacy/product-detail	/pharmacy/product-detail	API_CANDIDATE_REVIEW
patient	patient-app/app/(tabs)/pharmacy.tsx	451	/pharmacy/cart	/pharmacy/cart	API_CANDIDATE_REVIEW
patient	patient-app/app/ai-assistant.tsx	146	/ai/prescription-translator	/ai/prescription-translator	API_CANDIDATE_REVIEW
patient	patient-app/app/ai/chat-doctor.tsx	112	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/ai/skin-analysis.tsx	226	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/ai/symptom-checker.tsx	235	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/ai/symptom-checker.tsx	322	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/ai/symptom-checker.tsx	340	/ai/symptom-timeline	/ai/symptom-timeline	API_CANDIDATE_REVIEW
patient	patient-app/app/ai/triage.tsx	171	/emergency	/emergency	API_CANDIDATE_REVIEW
patient	patient-app/app/community/live-session.tsx	31	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/appointment-detail.tsx	83	/consultations/doctor/[id]	/consultations/doctor/[id]	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/appointment-detail.tsx	153	/patient/pay-copay	/patient/pay-copay	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/appointment-detail.tsx	166	/consultations/cancel-reschedule	/consultations/cancel-reschedule	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/appointment-detail.tsx	172	/consultations/virtual-waiting-room	/consultations/virtual-waiting-room	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/appointment-detail.tsx	182	/consultations/clinic-location	/consultations/clinic-location	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/appointment-detail.tsx	192	/consultations/home-visit-tracking	/consultations/home-visit-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/appointments.tsx	166	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/booking-confirm.tsx	258	/profile/insurance	/profile/insurance	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/booking-success.tsx	53	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/booking-success.tsx	57	/consultations/appointments	/consultations/appointments	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/booking-success.tsx	62	/consultations/clinic-location	/consultations/clinic-location	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/booking-success.tsx	65	/consultations/home-visit-tracking	/consultations/home-visit-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/booking-success.tsx	292	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/cancel-reschedule.tsx	34	/consultations/appointments	/consultations/appointments	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/chat-with-doctor.tsx	113	/consultations/video-call	/consultations/video-call	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/chat-with-doctor.tsx	116	/consultations/video-call	/consultations/video-call	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/doctor-profile.tsx	300	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/doctor-profile.tsx	300	/insurance/add-policy	/insurance/add-policy	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/doctor-profile.tsx	556	/consultations/doctor-profile	/consultations/doctor-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/follow-up.tsx	92	/consultations/prescription-from-doctor	/consultations/prescription-from-doctor	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/follow-up.tsx	102	/consultations/book/[id]	/consultations/book/[id]	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/follow-up.tsx	137	/consultations/chat-with-doctor	/consultations/chat-with-doctor	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/follow-up.tsx	138	/consultations/book/[id]	/consultations/book/[id]	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/post-call-rating.tsx	54	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/post-call-rating.tsx	62	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/consultations/prescription-from-doctor.tsx	63	/pharmacy/rx-order	/pharmacy/rx-order	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/prescription-from-doctor.tsx	285	/consultations/follow-up	/consultations/follow-up	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/prescription-from-doctor.tsx	335	/diagnostics/search	/diagnostics/search	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/share-report.tsx	155	/pharmacy/cart	/pharmacy/cart	API_CANDIDATE_REVIEW
patient	patient-app/app/consultations/waiting-room.tsx	242	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/delivery/address-select.tsx	73	/shared/location-picker	/shared/location-picker	API_CANDIDATE_REVIEW
patient	patient-app/app/delivery/address-select.tsx	135	/shared/location-picker	/shared/location-picker	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/book-sample.tsx	46	/shared/location-picker	/shared/location-picker	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/book-sample.tsx	121	/pay	/pay	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/booking-confirm.tsx	104	/insurance/approval-pending	/insurance/approval-pending	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/booking-confirm.tsx	107	/diagnostics/sample-tracking	/diagnostics/sample-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/booking-confirm.tsx	155	/delivery/address-select	/delivery/address-select	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/booking-success.tsx	87	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/diagnostics/booking-success.tsx	92	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/diagnostics/booking-success.tsx	98	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/diagnostics/cart.tsx	188	/diagnostics/checkout	/diagnostics/checkout	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/checkout.tsx	266	/diagnostics/booking-success	/diagnostics/booking-success	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/checkout.tsx	270	/diagnostics/booking-success	/diagnostics/booking-success	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/insurance-approval.tsx	250	/consultations	/consultations	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/insurance-upload.tsx	150	/consultations	/consultations	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/lab-comparison.tsx	87	/diagnostics/cart	/diagnostics/cart	API_CANDIDATE_REVIEW
patient	patient-app/app/diagnostics/order/[id].tsx	54	/cancel	/cancel	API_CANDIDATE_REVIEW
