POST /api/v1/auth/register | AuthController_register_v1 | responses= 201 | body= True | params= []
POST /api/v1/auth/login | AuthController_login_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/guest | AuthController_guest_v1 | responses= 201 | body= True | params= [('x-device-id', 'header')]
POST /api/v1/auth/convert-guest | AuthController_convertGuest_v1 | responses= 201 | body= True | params= []
POST /api/v1/auth/login/verify-2fa | AuthController_verify2fa_v1 | responses= 201 | body= False | params= []
GET /api/v1/auth/me | AuthController_me_v1 | responses= 200 | body= False | params= []
GET /api/v1/auth/trusted-devices | AuthController_trustedDevices_v1 | responses= 200 | body= False | params= []
DELETE /api/v1/auth/trusted-devices/{deviceId} | AuthController_revokeTrustedDevice_v1 | responses= 200 | body= False | params= [('deviceId', 'path')]
POST /api/v1/auth/heartbeat | AuthController_heartbeat_v1 | responses= 201 | body= False | params= []
GET /api/v1/auth/sessions/online | AuthController_onlineSessions_v1 | responses= 200 | body= False | params= []
POST /api/v1/auth/refresh | AuthController_refresh_v1 | responses= 201 | body= False | params= [('x-device-id', 'header')]
POST /api/v1/auth/logout-all | AuthController_logoutAll_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/consent | AuthController_recordConsent_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/logout | AuthController_logout_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/send-otp | AuthController_sendOtp_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/verify-otp | AuthController_verifyOtp_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/reset-password | AuthController_resetPassword_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/social-login | AuthController_socialLogin_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/passkey/enroll/options | PasskeyController_enrollOptions_v1 | responses= 201 | body= False | params= []
POST /api/v1/auth/passkey/enroll/verify | PasskeyController_enrollVerify_v1 | responses= 201 | body= False | params= []
GET /api/v1/auth/passkey/devices | PasskeyController_devices_v1 | responses= 200 | body= False | params= []
DELETE /api/v1/auth/passkey/devices/{credentialId} | PasskeyController_remove_v1 | responses= 200 | body= False | params= [('credentialId', 'path')]
POST /api/v1/auth/passkey/login/verify | PasskeyController_loginVerify_v1 | responses= 201 | body= False | params= []
POST /api/v1/users/me/change-password | UsersController_changePassword_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/register | ProviderAuthController_register_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/login | ProviderAuthController_login_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/refresh | ProviderAuthController_refresh_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/logout | ProviderAuthController_logout_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/send-otp | ProviderAuthController_sendOtp_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/verify-email | ProviderAuthController_verifyEmail_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/forgot-password | ProviderAuthController_forgot_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/verify-reset-code | ProviderAuthController_verifyResetCode_v1 | responses= 201 | body= False | params= []
POST /api/v1/provider/auth/reset-password | ProviderAuthController_reset_v1 | responses= 201 | body= False | params= []
GET /api/v1/provider/auth/me | ProviderAuthController_me_v1 | responses= 200 | body= False | params= []
POST /api/v1/admin/authority/appointments/{id}/force-cancel | AdminAuthorityController_fca_v1 | responses= 201 | body= False | params= [('id', 'path')]
POST /api/v1/admin/authority/appointments/{id}/force-confirm | AdminAuthorityController_fcoappt_v1 | responses= 201 | body= False | params= [('id', 'path')]
POST /api/v1/admin/authority/appointments/{id}/force-reschedule | AdminAuthorityController_fra_v1 | responses= 201 | body= False | params= [('id', 'path')]
POST /api/v1/admin/authority/orders/{id}/force-cancel | AdminAuthorityController_fco_v1 | responses= 201 | body= False | params= [('id', 'path')]
POST /api/v1/admin/authority/orders/{id}/force-complete | AdminAuthorityController_fkco_v1 | responses= 201 | body= False | params= [('id', 'path')]
