GET /api/v1/health/liveness | HealthController_liveness_v1 | body= False | responses= 200
GET /api/v1/health/readiness | HealthController_health_v1 | body= False | responses= 200
GET /api/v1/users/me/insurance | UsersInsuranceController_getInsurance_v1 | body= False | responses= 200
POST /api/v1/users/me/insurance | UsersInsuranceController_updateInsurance_v1 | body= False | responses= 201
PATCH /api/v1/orders/{id}/insurance-approval | OrdersController_updateInsuranceApproval_v1 | body= False | responses= 200
POST /api/v1/pharmacy/orders/{id}/insurance | PharmacyOpsController_setInsurance_v1 | body= False | responses= 201
GET /api/v1/care/insurance | CareController_insuranceCompanies_v1 | body= False | responses= 200
GET /api/v1/labs/services | LabsController_services_v1 | body= False | responses= 200
GET /api/v1/labs/packages | LabsController_packages_v1 | body= False | responses= 200
GET /api/v1/labs/categories | LabsController_categories_v1 | body= False | responses= 200
GET /api/v1/labs/services/{id} | LabsController_one_v1 | body= False | responses= 200
POST /api/v1/labs/bookings | LabsController_book_v1 | body= False | responses= 201
GET /api/v1/labs/bookings/mine | LabsController_mine_v1 | body= False | responses= 200
GET /api/v1/labs/bookings/{id} | LabsController_oneBooking_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/{id}/cancel | LabsController_cancel_v1 | body= False | responses= 201
PATCH /api/v1/labs/bookings/{id}/state | LabsController_transition_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/{id}/documents | LabsController_uploadDoc_v1 | body= False | responses= 201
PATCH /api/v1/labs/bookings/{id}/insurance | LabsController_updateIns_v1 | body= False | responses= 200
PATCH /api/v1/labs/bookings/{id}/items/{serviceId}/opt-in-cash | LabsController_optInCash_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/{id}/assign-technician | LabsController_assignTech_v1 | body= False | responses= 201
POST /api/v1/labs/bookings/{id}/upload-report | LabsController_uploadReport_v1 | body= False | responses= 201
PATCH /api/v1/labs/bookings/{id}/reschedule | LabsController_reschedule_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/{id}/gps | LabsController_updateGps_v1 | body= False | responses= 201
GET /api/v1/labs/bookings/{id}/tracking | LabsController_getTracking_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/{id}/emergency | LabsController_declareEmergency_v1 | body= False | responses= 201
POST /api/v1/labs/bookings/{id}/reassign | LabsController_reassign_v1 | body= False | responses= 201
POST /api/v1/labs/samples/register | LabsController_registerSample_v1 | body= False | responses= 201
PATCH /api/v1/labs/samples/{id}/stage | LabsController_updateStage_v1 | body= False | responses= 200
GET /api/v1/labs/samples | LabsController_listSamples_v1 | body= False | responses= 200
GET /api/v1/labs/packages/{id} | LabsController_getPackageDetails_v1 | body= False | responses= 200
GET /api/v1/labs/compatible-providers | LabsController_compatibleProviders_v1 | body= False | responses= 200
GET /api/v1/labs/bookings/queue | LabsEngineController_getQueue_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/{id}/respond | LabsEngineController_respondToBooking_v1 | body= False | responses= 201
POST /api/v1/labs/bookings/collect-sample/{id} | LabsEngineController_collectSample_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/finalize-test/{id} | LabsEngineController_finalizeTest_v1 | body= False | responses= 201
GET /api/v1/labs/bookings/catalog | LabsEngineController_getCatalog_v1 | body= False | responses= 200
POST /api/v1/labs/bookings/catalog | LabsEngineController_updateCatalog_v1 | body= False | responses= 201
GET /api/v1/labs/bookings/wallet | LabsEngineController_getWallet_v1 | body= False | responses= 200
GET /api/v1/health/vitals | HealthModuleController_list_v1 | body= False | responses= 200
POST /api/v1/health/vitals | HealthModuleController_add_v1 | body= False | responses= 201
GET /api/v1/health/vitals/chart | HealthModuleController_vitalsChart_v1 | body= False | responses= 200
GET /api/v1/health/vitals/recent | HealthModuleController_vitalsRecent_v1 | body= False | responses= 200
GET /api/v1/health/vitals/latest | HealthModuleController_latest_v1 | body= False | responses= 200
GET /api/v1/health/vitals/summary | HealthModuleController_summary_v1 | body= False | responses= 200
GET /api/v1/health/score | HealthModuleController_score_v1 | body= False | responses= 200
PATCH /api/v1/health/vitals/{id} | HealthModuleController_edit_v1 | body= False | responses= 200
DELETE /api/v1/health/vitals/{id} | HealthModuleController_del_v1 | body= False | responses= 200
GET /api/v1/health/reminders | HealthModuleController_rl_v1 | body= False | responses= 200
POST /api/v1/health/reminders | HealthModuleController_rc_v1 | body= False | responses= 201
POST /api/v1/health/reminders/{id}/log | HealthModuleController_rlg_v1 | body= False | responses= 201
POST /api/v1/health/reminders/{id}/refill | HealthModuleController_refill_v1 | body= False | responses= 201
POST /api/v1/health/reminders/{id}/refill/snooze | HealthModuleController_refillSnooze_v1 | body= False | responses= 201
POST /api/v1/health/reminders/{id}/refill/cancel | HealthModuleController_refillCancel_v1 | body= False | responses= 201
PATCH /api/v1/health/reminders/{id} | HealthModuleController_rt_v1 | body= False | responses= 200
DELETE /api/v1/health/reminders/{id} | HealthModuleController_rd_v1 | body= False | responses= 200
GET /api/v1/health/sleep | HealthModuleController_listSleep_v1 | body= False | responses= 200
POST /api/v1/health/sleep | HealthModuleController_addSleep_v1 | body= False | responses= 201
GET /api/v1/health/reports | HealthModuleController_listReports_v1 | body= False | responses= 200
GET /api/v1/health/medications/reminders | HealthModuleController_listMedicationReminders_v1 | body= False | responses= 200
GET /api/v1/health/prescriptions | HealthModuleController_listPrescriptions_v1 | body= False | responses= 200
GET /api/v1/health/emergency-contacts | HealthModuleController_listEmergencyContacts_v1 | body= False | responses= 200
POST /api/v1/health/emergency-contacts | HealthModuleController_addEmergencyContact_v1 | body= False | responses= 201
DELETE /api/v1/health/emergency-contacts/{id} | HealthModuleController_removeEmergencyContact_v1 | body= False | responses= 200
GET /api/v1/health/chronic-diseases | HealthModuleController_listChronicDiseases_v1 | body= False | responses= 200
