surface	file	line	kind	target_or_expression	source
mobile	app/(auth)/_layout.tsx	8	screen-registration		"<Stack.Screen name=""welcome"" />"
mobile	app/(auth)/_layout.tsx	9	screen-registration		"<Stack.Screen name=""login"" />"
mobile	app/(auth)/_layout.tsx	10	screen-registration		"<Stack.Screen name=""register"" />"
mobile	app/(auth)/_layout.tsx	11	screen-registration		"<Stack.Screen name=""otp"" />"
mobile	app/(auth)/_layout.tsx	12	screen-registration		"<Stack.Screen name=""forgot-password"" />"
mobile	app/(auth)/_layout.tsx	13	screen-registration		"<Stack.Screen name=""reset-password"" />"
mobile	app/(auth)/forgot-password.tsx	33	api-call	'/auth/send-otp'	await apiFetch('/auth/send-otp', {
mobile	app/(auth)/forgot-password.tsx	38	navigation	{	router.push({
mobile	app/(auth)/forgot-password.tsx	70	button/onPress		onPress={() => router.back()}
mobile	app/(auth)/forgot-password.tsx	118	button/onPress		onPress={handleSend}
mobile	app/(auth)/forgot-password.tsx	124	button/onPress		onPress={() => router.back()}
mobile	app/(auth)/login.tsx	91	api-call	'/auth/social-login'	const res = await apiFetch('/auth/social-login', {
mobile	app/(auth)/login.tsx	103	navigation	'/(auth	router.replace('/(auth)/provider-info' as any);
mobile	app/(auth)/login.tsx	105	navigation	'/(tabs	router.replace('/(tabs)');
mobile	app/(auth)/login.tsx	151	api-call	'/auth/login'	const res = await apiFetch('/auth/login', {
mobile	app/(auth)/login.tsx	177	navigation	'/(auth	router.replace('/(auth)/provider-info' as any);
mobile	app/(auth)/login.tsx	179	navigation	'/(tabs	router.replace('/(tabs)');
mobile	app/(auth)/login.tsx	220	button/onPress		<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
mobile	app/(auth)/login.tsx	274	button/onPress		<TouchableOpacity onPress={() => setShowPassword(!showPassword)} style={{ padding: 10 }}>
mobile	app/(auth)/login.tsx	283	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/forgot-password')}>
mobile	app/(auth)/login.tsx	297	button/onPress		onPress={handleLogin}
mobile	app/(auth)/login.tsx	307	button/onPress	{ pathname: '/(auth	onPress={() => router.push({ pathname: '/(auth)/otp', params: { phone: '+966' + phone.replace(/^0+/, ''), mode: 'login' } })}
mobile	app/(auth)/login.tsx	323	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
mobile	app/(auth)/login.tsx	329	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
mobile	app/(auth)/login.tsx	335	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
mobile	app/(auth)/login.tsx	340	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
mobile	app/(auth)/login.tsx	347	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/register')}>
mobile	app/(auth)/otp.tsx	70	api-call	'/auth/verify-otp'	const resOtp = await apiFetch('/auth/verify-otp', {
