mobile_file	domain	mobile_action_markers	mobile_navigation_markers	mobile_methods	web_route_candidates	status	evidence_required
(auth)/_layout.tsx	(auth)	0	6	{}		MISSING_WEB_SURFACE	live contract + SSR/security test
(auth)/forgot-password.tsx	(auth)	3	1	"{""POST"": 1}"		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/login.tsx	(auth)	10	7	"{""POST"": 2}"	/[locale]/login	PARTIAL_MUTATION_CONTRACT_REQUIRED	live contract + SSR/security test + full journey test
(auth)/otp.tsx	(auth)	4	3	"{""POST"": 3}"		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/privacy.tsx	(auth)	1	0	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/provider-info.tsx	(auth)	2	2	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/register.tsx	(auth)	11	6	"{""POST"": 2}"		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/reset-password.tsx	(auth)	3	1	"{""POST"": 1}"		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/terms.tsx	(auth)	1	0	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(auth)/welcome.tsx	(auth)	12	8	"{""POST"": 1}"		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(onboarding)/_layout.tsx	(onboarding)	0	3	{}		MISSING_WEB_SURFACE	live contract + SSR/security test
(onboarding)/index.tsx	(onboarding)	2	2	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(onboarding)/language.tsx	(onboarding)	2	1	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(onboarding)/permissions.tsx	(onboarding)	3	1	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(tabs)/_layout.tsx	(tabs)	0	0	{}		MISSING_WEB_SURFACE	live contract + SSR/security test
(tabs)/consultations/index.tsx	(tabs)	31	8	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(tabs)/diagnostics.tsx	(tabs)	21	11	{}	/[locale]/diagnostics	PARTIAL_ACTION_PROOF_REQUIRED	live contract + SSR/security test + full journey test
(tabs)/health.tsx	(tabs)	7	9	{}	/[locale]/health	PARTIAL_ACTION_PROOF_REQUIRED	live contract + SSR/security test + full journey test
(tabs)/index.tsx	(tabs)	19	19	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
(tabs)/nursing.tsx	(tabs)	18	2	{}		MISSING_WEB_SURFACE	live contract + SSR/security test + full journey test
