surface	file	line	kind	target_or_expression	source
web-components	appointment-actions.tsx	12	api-call	`/api/appointments/${appointmentId}/cancel`	"async function cancel() { if (busy) return; setBusy(true); setError(null); try { const response = await fetch(`/api/appointments/${appointmentId}/cancel`, { method: ""POST"", headers: { ""content-type"": ""application/json"", ""idempotency-key"": key.current || crypto.randomUUID() }, body: JSON.stringify(reason.trim() ? { reason: reason.trim() } : {}) }); if (!response.ok) { setError(response.status === 409 ? t(""cancelConflict"") : t(""cancelFailed"")); return; } setOpen(false); router.refresh(); } catch { setError(t(""cancelUnavailable"")); } finally { setBusy(false); } }"
web-components	appointment-booking-form.tsx	20	api-call	"""/api/appointments/book"""	"const response = await fetch(""/api/appointments/book"", { method: ""POST"", headers: { ""content-type"": ""application/json"", ""idempotency-key"": idempotency.current || crypto.randomUUID() }, body: JSON.stringify({ doctor_id: doctorId, type: serviceType, slot_id: selected, ...(notes.trim() ? { notes: notes.trim() } : {}) }) });"
web-components	appointment-booking-form.tsx	23	navigation	`/${locale}/appointments/${payload.booking_id}`	if (payload.booking_id) { router.replace(`/${locale}/appointments/${payload.booking_id}`); router.refresh(); return; }
web-components	appointment-reschedule-form.tsx	13	api-call	`/api/appointments/${appointmentId}/reschedule`	"async function submit(){ if(busy)return; if(!scheduledAt){setError(labels.invalid);return;} setBusy(true);setError(null);try{const response=await fetch(`/api/appointments/${appointmentId}/reschedule`,{method:""PATCH"",headers:{""content-type"":""application/json"",""idempotency-key"":key.current||crypto.randomUUID()},body:JSON.stringify({scheduled_at:new Date(scheduledAt).toISOString(),...(reason.trim()?{reason:reason.trim()}: {})})});if(!response.ok){setError(response.status===409?labels.conflict:labels.failed);return;}setOpen(false);router.refresh();}catch{setError(labels.unavailable)}finally{setBusy(false)}}"
web-components	call-token-launcher.tsx	11	api-call	`/api/appointments/${appointmentId}/call-token`	"async function requestToken(){ if(state===""loading"")return; setState(""loading"");setError(null);try{const response=await fetch(`/api/appointments/${appointmentId}/call-token`,{method:""GET"",cache:""no-store"",credentials:""same-origin""});const data=await response.json().catch(()=>null);if(!response.ok||!data?.token||data.provider!==""livekit""||!data.room){setState(""error"");setError(response.status===409?labels.notReady:labels.unavailable);return;}setCredential({provider:""livekit"",token:data.token,room:data.room});setState(""ready"");}catch{setState(""error"");setError(labels.unavailable)}}"
web-components	login-form.tsx	21	api-call	"""/api/auth/otp/request"""	"const response = await fetch(""/api/auth/otp/request"", { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify({ identifier }) });"
web-components	login-form.tsx	25	api-call	"""/api/auth/otp/verify"""	"const verify = await fetch(""/api/auth/otp/verify"", { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify({ identifier, code }) });"
web-components	login-form.tsx	27	api-call	"""/api/auth/session/exchange"""	"const exchange = await fetch(""/api/auth/session/exchange"", { method: ""POST"", headers: { ""x-nabd-device-id"": crypto.randomUUID() } });"
web-components	login-form.tsx	29	navigation	`/${locale}/dashboard`	router.replace(`/${locale}/dashboard`); router.refresh(); return;
web-components	login-form.tsx	33	api-call	endpoint	"const response = await fetch(endpoint, { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify(body) });"
web-components	login-form.tsx	37	navigation	`/${locale}/dashboard`	router.replace(`/${locale}/dashboard`); router.refresh();
web-components	login-form.tsx	43	form/onSubmit		return <form className={styles.form} onSubmit={submit} aria-busy={submitting}>
web-components	session-actions.tsx	16	api-call	"""/api/auth/logout"""	"try { await fetch(""/api/auth/logout"", { method: ""POST"" }); }"
web-components	session-actions.tsx	17	navigation	`/${locale}`	finally { router.replace(`/${locale}`); router.refresh(); }
