"component","route","source","line","interaction","api_candidates","review_flags"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","10","TouchableOpacity,","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","36","router.push({","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","67","<TouchableOpacity","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","68","onPress={() => router.back()}","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","89","</TouchableOpacity>","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","116","onPress={handleSend}","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/forgot-password","patient/nabd plus/app/(auth)/forgot-password.tsx","122","onPress={() => router.back()}","/auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","3","import { View, Text, StyleSheet, TouchableOpacity, TextInput, KeyboardAvoidingView, Platform, ScrollView, Alert } from 'react-native';","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","100","router.replace('/(auth)/provider-info' as any);","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","102","router.replace('/(tabs)');","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","173","router.replace('/(auth)/provider-info' as any);","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","175","router.replace('/(tabs)');","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","216","<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","220","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","270","<TouchableOpacity onPress={() => setShowPassword(!showPassword)} style={{ padding: 10 }}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","274","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","279","<TouchableOpacity onPress={() => router.push('/(auth)/forgot-password')}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","283","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","292","<TouchableOpacity","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","293","onPress={handleLogin}","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","299","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","302","<TouchableOpacity","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","303","onPress={() => router.push({ pathname: '/(auth)/otp', params: { phone: '+966' + phone.replace(/^0+/, ''), mode: 'login' } })}","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","308","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","319","<TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","321","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","325","<TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","327","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","331","<TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","333","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","336","<TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","338","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","343","<TouchableOpacity onPress={() => router.push('/(auth)/register')}>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/login","patient/nabd plus/app/(auth)/login.tsx","345","</TouchableOpacity>","/auth/social-login | /auth/login","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","3","import { View, Text, StyleSheet, TouchableOpacity, TextInput, KeyboardAvoidingView, Platform, ScrollView, Alert } from 'react-native';","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","81","router.replace({ pathname: '/(auth)/reset-password', params: { email: emailParam } });","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","130","router.replace('/(auth)/provider-info' as any);","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","132","router.replace('/(tabs)');","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","146","<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","150","</TouchableOpacity>","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","189","<TouchableOpacity onPress={() => { setTimer(60); setOtp(['', '', '', '', '', '']); }}>","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","191","</TouchableOpacity>","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","195","<TouchableOpacity","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","196","onPress={handleConfirm}","/auth/verify-otp | /auth/register",""
"patient","/(auth)/otp","patient/nabd plus/app/(auth)/otp.tsx","202","</TouchableOpacity>","/auth/verify-otp | /auth/register",""
"patient","/(auth)/privacy","patient/nabd plus/app/(auth)/privacy.tsx","8","TouchableOpacity,","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/privacy","patient/nabd plus/app/(auth)/privacy.tsx","35","<TouchableOpacity","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/privacy","patient/nabd plus/app/(auth)/privacy.tsx","36","onPress={() => router.back()}","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/privacy","patient/nabd plus/app/(auth)/privacy.tsx","55","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/provider-info","patient/nabd plus/app/(auth)/provider-info.tsx","3","import { View, StyleSheet, StatusBar, TouchableOpacity } from ""react-native"";","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/provider-info","patient/nabd plus/app/(auth)/provider-info.tsx","15","router.replace(""/(tabs)"");","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/provider-info","patient/nabd plus/app/(auth)/provider-info.tsx","19","router.replace(""/(auth)/login"");","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/provider-info","patient/nabd plus/app/(auth)/provider-info.tsx","62","onPress={handleContinueAsPatient}","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/provider-info","patient/nabd plus/app/(auth)/provider-info.tsx","65","<TouchableOpacity onPress={handleLogout} style={st.logoutBtn}>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/provider-info","patient/nabd plus/app/(auth)/provider-info.tsx","69","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","3","import { View, Text, StyleSheet, TouchableOpacity, TextInput, KeyboardAvoidingView, Platform, ScrollView, Alert } from 'react-native';","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","43","<TouchableOpacity onPress={() => setShowPassword(!showPassword)} style={{ padding: 10 }}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","47","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","121","router.replace('/(auth)/provider-info' as any);","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","123","router.replace('/(tabs)');","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","172","router.push({","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","207","<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","211","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","264","<TouchableOpacity onPress={() => setAgreed(!agreed)} style={{ flexDirection: isRTL ? 'row-reverse' : 'row', alignItems: 'flex-start', flexShrink: 0 }} activeOpacity={0.8}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","268","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","270","أوافق على <Text onPress={() => router.push('/(auth)/terms')} style={{ color: resolveColor('var(--p)', isDark), fontWeight: '800' }}>الشروط والأحكام</Text> و<Text onPress={() => router.push('/(auth)/privacy')} style={{ co","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","280","<TouchableOpacity","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","281","onPress={handleRegister}","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","287","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","297","<TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","299","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","303","<TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","305","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","309","<TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","311","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","314","<TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","316","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","321","<TouchableOpacity onPress={() => router.push('/(auth)/login')}>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/register","patient/nabd plus/app/(auth)/register.tsx","323","</TouchableOpacity>","/auth/social-login | /auth/send-otp","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(auth)/reset-password","patient/nabd plus/app/(auth)/reset-password.tsx","76","onPress={() => router.replace(""/(auth)/login"")}","/auth/reset-password","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
