mobile_file	domain	web_route_candidates	nav_markers	action_markers	http_methods	status	endpoint_markers
(auth)/_layout.tsx	(auth)		0	0		missing-or-merged-route-review	// | /Stack
(auth)/forgot-password.tsx	(auth)		1	3	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/LocalizedText | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /KeyboardAvoidingView | /LocalizedText | /TouchableOpacity | /View | /auth/send-otp | /otp
(auth)/login.tsx	(auth)	/[locale]/login	7	10	POST	partial-route-contract-review	/../src/components/LocalizedText | /../src/constants | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | /../src/utils/jwt | // | //accounts.snapchat.com/accounts/oauth2/auth | //accounts.snapchat.com/accounts/oauth2/token | //api.twitter.com/2/oauth2/token | //auth.snapchat.com/oauth2/api/user.display_name | //twitter.com/i/oauth2/authorize | /KeyboardAvoidingView | /LocalizedText | /ScrollView | /Svg | /TouchableOpacity | /View | /async-storage | /auth/login | /auth/social-login | /forgot-password | /otp | /provider-info | /providers/google | /register | /vector-icons | /}
(auth)/otp.tsx	(auth)		3	4	POST	missing-or-merged-route-review	/../src/components/LocalizedAlert | /../src/components/LocalizedText | /../src/constants | /../src/context/AppContext | /../src/store/slices/authSlice | /../src/theme/colors | /../src/utils/api | /../src/utils/jwt | // | /KeyboardAvoidingView | /LocalizedText | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /async-storage | /auth/convert-guest | /auth/register | /auth/verify-otp | /provider-info | /reset-password
(auth)/privacy.tsx	(auth)		0	1		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | // | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /legal/policy/privacy_policy?lang=${AR
(auth)/provider-info.tsx	(auth)		2	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | // | /AppText | /TouchableOpacity | /View | /login
(auth)/register.tsx	(auth)		6	11	POST	missing-or-merged-route-review	/../src/components/LocalizedText | /../src/constants | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | /../src/utils/jwt | // | //accounts.snapchat.com/accounts/oauth2/auth | //accounts.snapchat.com/accounts/oauth2/token | //api.twitter.com/2/oauth2/token | //auth.snapchat.com/oauth2/api/user.display_name | //twitter.com/i/oauth2/authorize | /KeyboardAvoidingView | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /async-storage | /auth/send-otp | /auth/social-login | /g | /login | /otp | /privacy | /provider-info | /providers/google | /terms | /vector-icons | /}
(auth)/reset-password.tsx	(auth)		1	3	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /KeyboardAvoidingView | /View | /auth/reset-password | /login
(auth)/terms.tsx	(auth)		0	1		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | // | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /legal/policy/patient_terms?lang=${AR
(auth)/welcome.tsx	(auth)		8	12	POST	missing-or-merged-route-review	/../src/components/LocalizedText | /../src/constants | /../src/context/AppContext | /../src/store/slices/authSlice | /../src/theme/colors | /../src/utils/api | /../src/utils/deviceId | // | /Animated.View | /LocalizedText | /Modal | /SafeAreaView | /Svg | /TouchableOpacity | /View | /async-storage | /auth/guest | /login | /register | /vector-icons | /}
