method	path	status	bytes
GET	/labs/services	200	113585
GET	/labs/packages	200	27361
GET	/labs/bookings/mine	401	67
GET	/radiology/services	200	68794
GET	/radiology/modalities	200	53
GET	/radiology/bookings/mine	401	67
GET	/home-care/services	401	67
GET	/home-care/providers	401	67
GET	/home-care/bookings/my	401	67
GET	/nursing/visits	401	67
GET	/orders/mine	401	67
GET	/orders/00000000-0000-4000-8000-000000000000	401	67
GET	/orders/00000000-0000-4000-8000-000000000000/tracking	401	67
GET	/medicines/filters	200	265
GET	/medicines/compare	404	40
GET	/users/me/wishlist	401	67
GET	/cart	401	67
GET	/cart/lines	404	80
GET	/prescriptions/mine	401	67
