screen_id	surface	source_path	sha256	line_count	action_signal_lines	state_signal_lines	mock_blueprint_signal_lines	role_matrix_status	cta_inventory_status	scenario_matrix_status	contract_status	data_source_status	security_review_status	gap_disposition
AD-001	admin	src/pages/_app.tsx	e9316262889ee0600d8250142ddc85e732b9eece2838fe0ec2f96c0a9c7dc898	18	NONE	NONE	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-002	admin	src/pages/_document.tsx	db90f87ec2f43038e7af699dede542f0773cca6ce2948beeb7f37913cea0733c	14	NONE	NONE	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-003	admin	src/pages/admin/ai-control.tsx	805cde84ec9cd497069d7f0adac44c29644714bb27d572dcd5d0053936f51459	149	53,95	NONE	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-004	admin	src/pages/admin/ambulance-fleet.tsx	c307f2eb7e373b5fe9c6c7681bf2b778c7e0bd74d2842f3ad23a130fbd9b75d8	174	98,109,146,150,162	15,22,23,24,30,32,33,42,59,78,97,105,106,108,112,140,144	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-005	admin	src/pages/admin/analytics.tsx	842e40d40561a22f39cf7c49de90483c727c9ee2b1013b33a159ca769edf4d1f	94	63	6,8,16,45,51,72	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-006	admin	src/pages/admin/audit-logs.tsx	2244739d97bca0472269257229a840a39d02a0d0c63ef50868c8b50d1ffe1558	107	27,54	3,16,35,61,65	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-007	admin	src/pages/admin/catalog-manager.tsx	2ac31fe58d9b9dbe5c35fa03ffcac7053a7e6b615a9c36ba359ba82d1046b773	187	116,123,144,145,154,156,176,177	40,132,150	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-008	admin	src/pages/admin/commissions.tsx	ce3900c3190d6d8334255bf8721daf32cb08875b70c4a3c557b8c444cfb335b2	145	51	22,23,54,56,57	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-009	admin	src/pages/admin/config-portal.tsx	7e78317313220c6bab5bb56754c9adf1f80fafb43780e2efc358078c4a583fb8	220	114,120,160,195,206	30,31,58,59,60,93,94,95	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
AD-010	admin	src/pages/admin/dashboard.tsx	882f77e5d0531618ca69493d9055292b4614b448f436160831a518e8df4500cd	252	180,216,233,234,237,245	5,46,86,92,93,155,158,180	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
