web_source_path	web_line	method_observed	upstream_path_expression	normalized_path_for_index_only	extractor	backend_literal_candidate	scope_note
patient-web/app/api/appointments/[appointmentId]/call-token/route.ts	16	GET	/unified-bookings/${appointmentId}/call-token	/unified-bookings/:param/call-token	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/appointments/[appointmentId]/cancel/route.ts	23	POST	/unified-bookings/consultation/${appointmentId}/cancel	/unified-bookings/consultation/:param/cancel	literal-callPatientApi	NO_LITERAL_MATCH_REQUIRES_MANUAL_RECONCILIATION	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/appointments/[appointmentId]/reschedule/route.ts	23	PATCH	/unified-bookings/consultation/${appointmentId}/reschedule	/unified-bookings/consultation/:param/reschedule	literal-callPatientApi	NO_LITERAL_MATCH_REQUIRES_MANUAL_RECONCILIATION	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/appointments/book/route.ts	31	POST	/unified-bookings	/unified-bookings	literal-callPatientApi	NO_LITERAL_MATCH_REQUIRES_MANUAL_RECONCILIATION	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/appointments/book/route.ts	60	POST	/insurance/requests	/insurance/requests	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/login/route.ts	14	POST	/auth/login	/auth/login	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/logout/route.ts	7	POST	/auth/logout	/auth/logout	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/otp/request/route.ts	13	POST	/auth/otp/request	/auth/otp/request	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/otp/verify/route.ts	13	POST	/auth/otp/verify	/auth/otp/verify	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/session/exchange/route.ts	15	POST	/auth/session/exchange	/auth/session/exchange	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/session/route.ts	19	GET	/auth/me	/auth/me	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/auth/verify-2fa/route.ts	14	POST	/auth/login/verify-2fa	/auth/login/verify-2fa	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/bookings/[kind]/route.ts	73	POST	/payments/intent/${payKind}/${encodeURIComponent(booking.id)}	/payments/intent/:param/:param	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/bookings/[kind]/route.ts	85	POST	/insurance/requests	/insurance/requests	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/chat/threads/[threadId]/media/route.ts	36	POST	/media/upload	/media/upload	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/chat/threads/[threadId]/messages/route.ts	32	POST	/chat/threads/${encodeURIComponent(threadId)}/messages	/chat/threads/:param/messages	literal-callPatientApi	NO_LITERAL_MATCH_REQUIRES_MANUAL_RECONCILIATION	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/chat/threads/[threadId]/read/route.ts	24	POST	/chat/threads/${encodeURIComponent(threadId)}/read	/chat/threads/:param/read	literal-callPatientApi	NO_LITERAL_MATCH_REQUIRES_MANUAL_RECONCILIATION	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/chat/threads/[threadId]/rt-token/route.ts	25	GET_IMPLICIT	/chat/threads/${encodeURIComponent(threadId)}/rt-token	/chat/threads/:param/rt-token	literal-callPatientApi	NO_LITERAL_MATCH_REQUIRES_MANUAL_RECONCILIATION	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/community/[action]/route.ts	37	POST	/community/posts	/community/posts	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/community/[action]/route.ts	51	POST	/community/posts/${encodeURIComponent(commentMatch[1])}/comment	/community/posts/:param/comment	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/community/[action]/route.ts	65	PUT	/community/posts/${encodeURIComponent(voteMatch[1])}/vote	/community/posts/:param/vote	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/emergency/[action]/route.ts	31	POST	/emergency/trigger	/emergency/trigger	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/emergency/[action]/route.ts	45	POST	/emergency/${encodeURIComponent(cancelMatch[1])}/cancel	/emergency/:param/cancel	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/create/route.ts	22	POST	/family/create	/family/create	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/invite/route.ts	25	POST	/family/invite	/family/invite	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/join/route.ts	26	POST	/family/join	/family/join	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/leave/route.ts	17	POST	/family/leave	/family/leave	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/members/[memberId]/permissions/route.ts	24	PATCH	/family/members/${encodeURIComponent(memberId)}/permissions	/family/members/:param/permissions	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/members/[memberId]/route.ts	21	DELETE	/family/members/${encodeURIComponent(memberId)}	/family/members/:param	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/family/members/route.ts	10	GET_IMPLICIT	/family/members	/family/members	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/health/sleep/route.ts	27	POST	/health/sleep	/health/sleep	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/health/vitals/route.ts	28	POST	/health/vitals	/health/vitals	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/insurance/requests/[requestId]/pay-copay/route.ts	26	POST	/insurance/requests/${encodeURIComponent(requestId)}/pay-copay	/insurance/requests/:param/pay-copay	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/maternity/profile/route.ts	27	POST	/maternity/profile	/maternity/profile	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/media/[mediaId]/url/route.ts	19	GET_IMPLICIT	/media/${encodeURIComponent(mediaId)}/url	/media/:param/url	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/medicines/compare/route.ts	16	POST	/medicines/compare	/medicines/compare	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/mental-health/mood/route.ts	27	POST	/mental-health/mood	/mental-health/mood	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
patient-web/app/api/patient/[...path]/route.ts	9	POST	/auth/refresh	/auth/refresh	literal-callPatientApi	CANDIDATE_LITERAL_MATCH	CATALOG_ONLY_NOT_A_CONTRACT_OR_JOURNEY_PROOF
