screen_id	surface	source_path	sha256	line_count	action_signal_lines	state_signal_lines	mock_blueprint_signal_lines	role_matrix_status	cta_inventory_status	scenario_matrix_status	contract_status	data_source_status	security_review_status	gap_disposition
PR-001	provider	src/screens/ambulance/AmbulanceDashboard.tsx	f678b853dbacc4d9173ebebaf2b70439ef26e6d89aab136e736f93bc7b7ade4e	462	42,63,90,137,144,149,177,194,232,237,243,264,289,316,337,354,370,403,420,430	36,70,113,114,136,258,261,268,289,306,313,324,354,367,381,382	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-002	provider	src/screens/ambulance/AmbulanceRegistration.tsx	0f6ec165362c07179af6a911b96e871c5b9e076fb8c4244c14fa920ff3620870	258	113,120,154,186,254	61,102,103,105,106,120,144,151,152,176,178,195,233,243,244,254	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-003	provider	src/screens/auth/AuthScreens.tsx	49231fcedae9b21cc156d69dd9e881c5191fdf5467350d2917dcbfddc908cefb	907	152,202,247,261,276,323,331,439,475,490,494,503,526,527,532,555,558,562,609,631,653,693,718,757,878,880	4,102,103,108,109,186,362,407,428,462,468,490,545,563,590,615,637,667,715,718,725,748,757,769,771	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-004	provider	src/screens/auth/PendingDashboard.tsx	f78bd95065bf73eb8fce5c64bfb4dd0bf2bbdad78ca8cbff1b2710b8900ee244	138	34,47,91,101,131,132	11,19,37,51,77,91,101	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-005	provider	src/screens/doctor/DoctorDashboard.tsx	2ed3b2b33a3cde7d365561778436b84abe237a5daccf5ca1a0c59335815944b0	4323	70,73,74,76,77,80,83,91,92,104,107,110,113,119,120,192,202,210,225,235,248,263,281,316,319,321,323,339,349,357,365,411,419,447,477,486,504,524,607,656,690,700,706,737,795,810,812,813,816,817,819,832,845,890,935,960,963,982,996,1013,1028,1062,1071,1081,1095,1107,1156,1186,1209,1211,1254,1257,1291,1319,1325,1383,1404,1431,1439,1559,1643,1674,1704,1819,1838,1840,1867,1868,1920,1938,1952,1963,1977,2012,2047,2109,2145,2152,2175,2218,2223,2224,2225,2226,2229,2269,2289,2329,2333,2395,2437,2443,2469,2485,2506,2520,2537,2621,2648,2674,2745,2769,2824,2827,2896,2944,2972,2987,3012,3032,3061,3064,3079,3092,3159,3162,3208,3278,3365,3443,3447,3451,3463,3467,3471,3507,3511,3522,3526,3541,3566,3573,3589,3607,3630,3663,3682,3745,3790,3866,3947,4014,4033,4079,4096,4110,4142,4143,4147,4177,4204,4279,4287	116,141,142,146,149,197,198,206,213,215,230,237,239,244,248,249,255,275,278,281,297,298,299,309,320,321,378,383,388,392,396,400,405,417,539,573,631,660,845,863,939,963,1045,1061,1108,1220,1245,1322,1338,1345,1435,1447,1466,1613,1768,1780,1782,1783,1789,1796,1864,1914,1953,2036,2038,2115,2117,2226,2234,2244,2252,2257,2264,2319,2328,2332,2333,2336,2341,2346,2372,2440,2450,2465,2472,2473,2494,2879,2921,2948,2954,2981,2991,3017,3024,3316,3320,3365,3369,3405,3418,3428,3429,3430,3566,3613,3644,3673,3695,3705,3745,3797,3799,3801,3805,3817,3823,3826,3829,3880,3895,3920,4069,4084,4087,4103,4118,4129,4130,4168,4181,4204,4220,4255,4279,4287	2092,2104,3189,4224	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-006	provider	src/screens/doctor/DoctorOpsScreens.tsx	c3ef6c3722aa3d589011fef38a717a6fdc2d0d31edf5d3376811479588e76ca1	335	41,51,62,81,92,108,134,148,159,175,190,218,228,247,281,289,321	25,48,56,60,63,65,92,95,96,108,109,127,141,153,161,175,178,179,209,225,233,247,250,251,277,292,306,307	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-007	provider	src/screens/doctor/DoctorRegistration.tsx	27a7093e1b6ecc2ee04a9acdcd0c83bd7b24c031707b54f3531c3465874bfce3	1130	192,193,202,218,233,243,260,299,319,325,338,370,382,390,480,495,506,512,534,571,621,624,636,685,697,773,787,818,824,832,1036,1093,1105,1108,1114	13,43,44,46,55,67,68,69,151,173,184,185,187,188,196,198,202,221,225,235,245,252,253,267,282,299,311,372,402,403,404,407,412,415,416,431,433,435,445,447,449,459,461,464,678,679,680,704,733,736,742,743,746,749,752,755,758,766,767,834,838,858,886,894,895,896,927,928,929,981,989,995,1029,1114,1126	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-008	provider	src/screens/doctor/FacilityInvitationsScreen.tsx	836bb3256eb15cf102cda6643b563f654673546d550d211d3b05a8d2f4fea183	134	35,57,123,124	13,30,58,62,69,84,86,90,94,100,101,121	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-009	provider	src/screens/doctor/components/DoctorHeader.tsx	2540d7329cc4614d440f93f3af1052a9e1cdaa80152bd3c34b51570aba7c04fa	80	37	NONE	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PR-010	provider	src/screens/doctor/components/DoctorQueueList.tsx	8806a3bcf936200d982823411a0a9d7154e217b0d537c5ad44701f0a451ecd63	107	52	NONE	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
