archive	member_path	sha256	line_count	kind	role	domain	status	fully_read	evidence
NabdProvider-provider.zip	App.tsx	5f8e91e4705d4ff0f36b21bc92c0013bfff055f612c82ac27b9553dc6f8ebb9f	116	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	app.json	c4431ad931af5c7fe1cd8d732f933439982cdda60347aff2538a4b0a022a4e1c	46	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	assets/adaptive-icon.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	binary asset/package	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	assets/audio/rad_dispatch_alert.mp3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	EXCLUSION_BINARY	binary asset/package	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	assets/icon.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	binary asset/package	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	assets/notification-icon.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	binary asset/package	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	assets/splash.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	binary asset/package	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	package-lock.json	fa16c2e4fc5404e93889b5fb0d001c5ef023fdc0f58662436ee577d1798d77d4	16609	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	package.json	905a0867304253b329652a41b6ccf58d7f0fe47424f6912ca4efb99d813b73f4	81	OWNED_SOURCE_MEMBER	config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	provider-app.contracts.test.js	6b140be9a95038301fbff37a171012c7f16f5f1abd6de83f44d03d60dd40b99c	80	OWNED_SOURCE_MEMBER	test	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
