archive	member_path	sha256	line_count	classification	semantic_status	action_contract_status
NabdProvider-provider.zip	src/api/catalogs.ts	7fa8eca5e18dee98bb50e4e9e8fb49d1b34b4729d3e270a9f1090b90e5701987	147	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/api/client.ts	cae9211d607b7838f0b52f9a5ab0880bcb3ad05054f34673b03e37b9ce6ca6b6	52	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/api/otp.ts	8d0cdd37a8b314585d6fc0f023e198d0dbdc96406f7e5054eded60ed686fbcea	27	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/api/provider.ts	5f30f4ee002b6db4c49df03b2c174959ceb66012e2ce039591873f5c4b02a09b	102	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/ContractModal.tsx	813beac15529a432a660f6563dea12274330f524b2be22db2225236bdc24be82	132	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/LocationPickerModal.tsx	a9d77a05620215e0936d16968e29a1dc7bc574ead27f23a1e78fcfece894bc03	129	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/OtpModal.tsx	ae0594d1da8ca4a460bbb580f793154f5437805aa18bf66814de24819e860921	185	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/PlatformMap.native.tsx	e18899d4217e5482ae0dba0be9e23496166bfd1cc58abe98b9e6b005eac7f59e	1	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/PlatformMap.tsx	e18899d4217e5482ae0dba0be9e23496166bfd1cc58abe98b9e6b005eac7f59e	1	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/PlatformMap.web.tsx	b9f9afb97ed7cbf680f18b8f965dcafc464e06c9134568f2645b40d6ccec26ee	16	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/SignatureCanvasModal.tsx	f111726c5cb4f64166dfcb7f78d53cf2c8aaa277a0c6465132c3c37788bd25be	89	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/SuccessScreen.tsx	286e1bd78b57da86c1bd25490300ec42ecfcd23194ed6a4304d90cb8e50f4d88	55	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/icons.tsx	fbc6ef58fecdb9d5a64953cb8ac84364e219f8371fa4b29d3d3f31bc159beab7	273	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/components/ui.tsx	4d987e9f56bd3f88939f5e8b14ba604b8127a676d32f60f95113acf8112cd4ac	1379	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/constants/index.ts	7c55b2ab1acfb565a7ad71046e451dd05024c7abfcbe18933029fe28f2328e2c	443	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/context/index.tsx	3c288ab0a29efb1f9e8fefe4088224ea3c5d4ff8de5130308f44a6205130c42d	449	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/polyfills.ts	9ef2a64dccbd655ab6367440f6130a64d9d3f92a80a47b3038397b71c6fce2f3	18	other	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/screens/ambulance/AmbulanceDashboard.tsx	f678b853dbacc4d9173ebebaf2b70439ef26e6d89aab136e736f93bc7b7ade4e	461	screen-or-page	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/screens/ambulance/AmbulanceRegistration.tsx	0f6ec165362c07179af6a911b96e871c5b9e076fb8c4244c14fa920ff3620870	257	screen-or-page	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/screens/auth/AuthScreens.tsx	49231fcedae9b21cc156d69dd9e881c5191fdf5467350d2917dcbfddc908cefb	906	screen-or-page	UNVERIFIED	UNVERIFIED
NabdProvider-provider.zip	src/screens/auth/PendingDashboard.tsx	f78bd95065bf73eb8fce5c64bfb4dd0bf2bbdad78ca8cbff1b2710b8900ee244	137	screen-or-page	UNVERIFIED	UNVERIFIED
