archive_path	member_path	sha256	phase0a_sha256	sha256_match	line_count	kind	role	domain	fully_read	evidence_file	evidence_section	line_ranges_read	routes_events	dto_schema_collection	consumers	auth_ownership	state_transitions	price_payment_insurance_source	tests	notes
nabdah-backend.zip	NABDAH_PROJECT_REFERENCE.md	cfeda7126d562bbf26a35af5913e2507421939522445fd33d17b544a3665ada0	cfeda7126d562bbf26a35af5913e2507421939522445fd33d17b544a3665ada0	YES	1800	OWNED_SOURCE_MEMBER	source/config	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	docker-compose.yml	aeac102661fe260ac55ce498ca38cf6269fea4857261265e74acab07cf7fc688	aeac102661fe260ac55ce498ca38cf6269fea4857261265e74acab07cf7fc688	YES	21	OWNED_SOURCE_MEMBER	ci/deployment	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	tsconfig.json	6a12aea24799485751e9ae2c5296affe5fb570d568e995ec19adb35b7f239063	6a12aea24799485751e9ae2c5296affe5fb570d568e995ec19adb35b7f239063	YES	28	OWNED_SOURCE_MEMBER	config	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	docker-compose.prod.yml	9fd905e336b2622dbd47938000070fda64f8ec86b0be2eda96dec1a0ead5a701	9fd905e336b2622dbd47938000070fda64f8ec86b0be2eda96dec1a0ead5a701	YES	48	OWNED_SOURCE_MEMBER	ci/deployment	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	package.json	ad6f3a4cec2645d40aaea002cde50644c32af776b24d64e01165e3fea6528d47	ad6f3a4cec2645d40aaea002cde50644c32af776b24d64e01165e3fea6528d47	YES	108	OWNED_SOURCE_MEMBER	config	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	nabd_patient_web.zip	8593cf8e828645118f14533cdde33386e56687999f84173d4d18cff4b0b1191f	8593cf8e828645118f14533cdde33386e56687999f84173d4d18cff4b0b1191f	YES		EXCLUSION_BINARY	binary asset/package	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	ocr_worker.py	cd7ae395f9ad7f06ec4b226aa043e3e99c47f0dc17854a604ddd6b9ce403785f	cd7ae395f9ad7f06ec4b226aa043e3e99c47f0dc17854a604ddd6b9ce403785f	YES	63	EXCLUSION_OTHER	non-source archive member	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	NabdProvider-provider.zip	73c363440c8f4d68ad1ba3f7e9e78cfdab87167a16be20c66deea46d64214a4c	73c363440c8f4d68ad1ba3f7e9e78cfdab87167a16be20c66deea46d64214a4c	YES		EXCLUSION_BINARY	binary asset/package	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	Dockerfile.production	f33be31cd4a451c49c451fb789936175a1535b33afb96db77f279022e82bc928	f33be31cd4a451c49c451fb789936175a1535b33afb96db77f279022e82bc928	YES	36	EXCLUSION_OTHER	non-source archive member	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
nabdah-backend.zip	web_admin_dashboard.zip	6f501ebd543a7c97dc2c2b3125fa563fd7e6e68fd087dc9d20bc4d5234c2a671	6f501ebd543a7c97dc2c2b3125fa563fd7e6e68fd087dc9d20bc4d5234c2a671	YES		EXCLUSION_BINARY	binary asset/package	backend	NO	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	UNASSIGNED	Semantic read pending; inventory/provenance only
