archive_path	member_path	sha256	line_count	kind	role	domain	fully_read	evidence_file	evidence_section	line_ranges_read	routes_screens_actions	backend_consumers_or_contracts	auth_ownership	state_transitions	payment_insurance_relevance	error_empty_loading_retry_cancel	existing_tests	notes
web_admin_dashboard.zip	CLAUDE.md	336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49	1	OWNED_SOURCE_OR_CONFIG	source/config	cross-surface	YES	audit-artifacts/phase0d/phase0d-admin/evidence/CLAUDE.md.md	Complete decoded member bytes; static semantic signals	1-1							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	package.json	2f9908f486af3d78094b8014fe4142c238d8206ae34ce9b9c9a7b2243210815b	27	OWNED_SOURCE_OR_CONFIG	source/config	identity/session	YES	audit-artifacts/phase0d/phase0d-admin/evidence/package.json.md	Complete decoded member bytes; static semantic signals	1-27			"2: ""name"": ""web-admin"","				Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	eslint.config.mjs	870f1adccecf3051cbcd9fd307cef51d7633cf510979c181a81f4b1797273493	18	OWNED_SOURCE_OR_CONFIG	config/build	family/health	YES	audit-artifacts/phase0d/phase0d-admin/evidence/eslint.config.mjs.md	Complete decoded member bytes; static semantic signals	1-18							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	README.md	46f372189e874e155ce605d39c02d4f80b1d258920d22ccdf92fe80fb1ac9a76	40	OWNED_SOURCE_OR_CONFIG	source/config	family/health	YES	audit-artifacts/phase0d/phase0d-admin/evidence/README.md.md	Complete decoded member bytes; static semantic signals	1-40	1: This is a [Next.js](https://nextjs.org) project bootstrapped with [`create-next-app`](https://nextjs.org/docs/pages/api-reference/create-next-app).; 19: You can start editing the page by modifying `pages/index.tsx`. The page auto-updates as you edit the file.; 21: [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) can be accessed on [http://localhost:3000/api/hello](http://localhost:3000/api/hello). This endpoint can be edited in `pages/api/hello.ts`.; 23: The `pages/api` directory is mapped to `/api/*`. Files in this directory are treated as [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) instead of React pages.; 25: This project uses [`next/font`](https://nextjs.org/docs/pages/building-your-application/optimizing/fonts) to automatically optimize and load [Geist](https://vercel.com/font), a new font family for Vercel.; 32: - [Learn Next.js](https://nextjs.org/learn-pages-router) - an interactive Next.js tutorial.; 40: Check out our [Next.js deployment documentation](https://nextjs.org/docs/pages/building-your-application/deploying) for more details.	21: [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) can be accessed on [http://localhost:3000/api/hello](http://localhost:3000/api/hello). This endpoint can be edited in `pages/api/hello.ts`.; 23: The `pages/api` directory is mapped to `/api/*`. Files in this directory are treated as [API routes](https://nextjs.org/docs/pages/building-your-application/routing/api-routes) instead of React pages.					Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	AGENTS.md	e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627	5	OWNED_SOURCE_OR_CONFIG	source/config	cross-surface	YES	audit-artifacts/phase0d/phase0d-admin/evidence/AGENTS.md.md	Complete decoded member bytes; static semantic signals	1-5							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	next-env.d.ts	6270cb0e77bf8b6add74edb5e90994381850fabaf82f3480e6dd0721eacbd40b	6	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-admin/evidence/next-env.d.ts.md	Complete decoded member bytes; static semantic signals	1-6	"3: import ""./.next/types/routes.d.ts"";; 6: // see https://nextjs.org/docs/pages/api-reference/config/typescript for more information."						Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	package-lock.json	b3184d3acf144fae7704535190cef91ef09b6510b25bb6b89d4e8b29309c60d0	6777	OWNED_SOURCE_OR_CONFIG	source/config	identity/session	YES	audit-artifacts/phase0d/phase0d-admin/evidence/package-lock.json.md	Complete decoded member bytes; static semantic signals	1-6777	"479: ""@humanwhocodes/retry"": ""^0.4.0""; 509: ""node_modules/@humanwhocodes/retry"": {; 511: ""resolved"": ""https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.3.tgz"",; 3239: ""@humanwhocodes/retry"": ""^0.4.2"","	"280: ""node_modules/@emnapi/core"": {; 282: ""resolved"": ""https://registry.npmjs.org/@emnapi/core/-/core-1.10.0.tgz"",; 288: ""@emnapi/wasi-threads"": ""1.2.1"",; 292: ""node_modules/@emnapi/runtime"": {; 294: ""resolved"": ""https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.11.2.tgz"",; 302: ""node_modules/@emnapi/wasi-threads"": {; 304: ""resolved"": ""https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.1.tgz"",; 923: ""@emnapi/runtime"": ""^1.7.0"""	"2: ""name"": ""web-admin"",; 8: ""name"": ""web-admin"",; 48: ""js-tokens"": ""^4.0.0"",; 2586: ""integrity"": ""sha512-AjYpR78kDWAY3Efj+cDTFH9t9SCoL7OoTp1BOb0mQV7S+6CiLwnWM3FyxhJtdPufDFKzmCSFoUncKjWgJEZTCQ=="",; 4620: ""node_modules/js-tokens"": {; 4622: ""resolved"": ""https://registry.npmjs.org/js-tokens/-/js-tokens-4.0.0.tgz"",; 5048: ""js-tokens"": ""^3.0.0 || ^4.0.0""; 5506: ""integrity"": ""sha512-ojmeN0qd+y0jszEtoY48r0Peq5dwMEkIlCOu6Q5f41lfkswXuKtYrhgoTpLnyIcHm24Uhqx+5Tqm2InSwLhE6Q=="","	"479: ""@humanwhocodes/retry"": ""^0.4.0""; 509: ""node_modules/@humanwhocodes/retry"": {; 511: ""resolved"": ""https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.3.tgz"",; 2413: ""es-errors"": ""^1.3.0"",; 2435: ""es-errors"": ""^1.3.0"",; 2494: ""es-errors"": ""^1.3.0"",; 2512: ""es-errors"": ""^1.3.0"",; 2679: ""es-errors"": ""^1.3.0"","	"2240: ""integrity"": ""sha512-ewvYlk86xUoGI0zQRNq/mC+16R1QeDlKQy21Ki3oSYXNgLb45GV1P6A0M+/s6nyCuNDqe5VpaY84BzXGwVbwFA=="",; 2383: ""integrity"": ""sha512-FmeCCAenzH0KH381SPT5FZmiA/TmpndpcaShhfgEN9eCVjnFBqq3l1xrI42y8+PPLI6hypzou4GXw00WHmPBLQ=="",; 2808: ""integrity"": ""sha512-z1HGKcYy2xA8AGQfwrn0PAy+PB7X/GSj3UVJW9qKyn43xWa+gl5nXmU4qqLMRzWVLFC8KusUX8T/0kCiOYpAIQ=="",; 3967: ""integrity"": ""sha512-ZUKRh6/kUFoAiTAtTYPZJ3hw9wNxx+BIBOijnlG9PnrJsCcSjs1wyyD6vJpaYtgnzDrKYRSqf3OO6Rfa93xsRg=="","	"479: ""@humanwhocodes/retry"": ""^0.4.0""; 509: ""node_modules/@humanwhocodes/retry"": {; 511: ""resolved"": ""https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.3.tgz"",; 2413: ""es-errors"": ""^1.3.0"",; 2435: ""es-errors"": ""^1.3.0"",; 2494: ""es-errors"": ""^1.3.0"",; 2512: ""es-errors"": ""^1.3.0"",; 2679: ""es-errors"": ""^1.3.0"","	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	tsconfig.json	53d4761a011f9c7469ab8adaba0e88f478d439a70e62e2fa6930094373907fbd	42	OWNED_SOURCE_OR_CONFIG	config/build	family/health	YES	audit-artifacts/phase0d/phase0d-admin/evidence/tsconfig.json.md	Complete decoded member bytes; static semantic signals	1-42							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	next.config.ts	a5b489982805de6273a048820c55ea6177db634e66a985aac765d93ba8174248	8	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-admin/evidence/next.config.ts.md	Complete decoded member bytes; static semantic signals	1-8							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	tsconfig.tsbuildinfo	af1c93ccd828bbea34adcaa5c93b95cbf1a0046c0ada49ef9ab1da4df775a0dd		EXCLUSION_OTHER	config/build	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_OTHER; not a semantic source member
web_admin_dashboard.zip	postcss.config.mjs	dfac7ac2d86d326a0e5adb024e7943c181393ed17a5fcb8f0315b24c7da6ddde	7	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-admin/evidence/postcss.config.mjs.md	Complete decoded member bytes; static semantic signals	1-7							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	src/pages/_app.tsx	e9316262889ee0600d8250142ddc85e732b9eece2838fe0ec2f96c0a9c7dc898	17	OWNED_SOURCE_OR_CONFIG	ui/screen	admin/provider-ops	YES	audit-artifacts/phase0d/phase0d-admin/evidence/src_pages__app.tsx.md	Complete decoded member bytes; static semantic signals	1-17	5: export default function App({ Component, pageProps, router }: AppProps) {; 6: // If the route is under /admin, wrap it with the AdminGuard; 7: if (router.pathname.startsWith('/admin')) {; 10: <Component {...pageProps} />; 16: return <Component {...pageProps} />;		"3: import { AdminGuard } from ""@/components/AdminGuard"";; 6: // If the route is under /admin, wrap it with the AdminGuard; 7: if (router.pathname.startsWith('/admin')) {; 9: <AdminGuard>; 11: </AdminGuard>"				Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	src/pages/_document.tsx	db90f87ec2f43038e7af699dede542f0773cca6ce2948beeb7f37913cea0733c	13	OWNED_SOURCE_OR_CONFIG	ui/screen	cross-surface	YES	audit-artifacts/phase0d/phase0d-admin/evidence/src_pages__document.tsx.md	Complete decoded member bytes; static semantic signals	1-13							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
web_admin_dashboard.zip	src/pages/login.tsx	0cccf5e30392476ee3dad530e33c09de9a8669b85ea0ac8f1c4ee59c5b51b314	379	OWNED_SOURCE_OR_CONFIG	ui/screen	pharmacy/orders	YES	audit-artifacts/phase0d/phase0d-admin/evidence/src_pages_login.tsx.md	Complete decoded member bytes; static semantic signals	1-379	"2: import { useRouter } from 'next/router';; 10: * obscurity): the page presents only ""نبض — تسجيل دخول"". The 2FA flow and; 13: export default function AdminLogin() {; 14: const router = useRouter();; 26: const handleLogin = async (e: React.FormEvent) => {; 31: const res = await fetch(`${API_BASE}/api/v1/auth/login`, {; 49: completeLogin(data);; 62: const res = await fetch(`${API_BASE}/api/v1/auth/login/verify-2fa`, {"	31: const res = await fetch(`${API_BASE}/api/v1/auth/login`, {; 62: const res = await fetch(`${API_BASE}/api/v1/auth/login/verify-2fa`, {; 84: const res = await fetch(`${API_BASE}/api/v1/auth/passkey/login/verify`, {; 103: const res = await fetch(`${API_BASE}/api/v1/auth/send-otp`, {; 122: const res = await fetch(`${API_BASE}/api/v1/auth/reset-password`, {	9: * Discreet sign-in — no role/panel branding by design (security through; 11: * role gate stay identical; unauthorized accounts simply see a generic error.; 13: export default function AdminLogin() {; 17: const [otp, setOtp] = useState('');; 18: const [step, setStep] = useState<'credentials' | 'otp' | 'passkey' | 'reset-request' | 'reset-confirm'>('credentials');; 26: const handleLogin = async (e: React.FormEvent) => {; 31: const res = await fetch(`${API_BASE}/api/v1/auth/login`, {; 46: setStep('otp');	1: import React, { useState } from 'react';; 11: * role gate stay identical; unauthorized accounts simply see a generic error.; 15: const [identifier, setIdentifier] = useState('');; 16: const [password, setPassword] = useState('');; 17: const [otp, setOtp] = useState('');; 18: const [step, setStep] = useState<'credentials' | 'otp' | 'passkey' | 'reset-request' | 'reset-confirm'>('credentials');; 19: const [resetCode, setResetCode] = useState('');; 20: const [newPassword, setNewPassword] = useState('');		11: * role gate stay identical; unauthorized accounts simply see a generic error.; 23: const [loading, setLoading] = useState(false);; 24: const [error, setError] = useState('');; 28: setError('');; 29: setLoading(true);; 37: if (!res.ok) throw new Error('بيانات الدخول غير صحيحة');; 50: } catch (err: any) {; 51: setError(err?.message || 'تعذر الاتصال بالخادم');	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
