archive_path	member_path	sha256	line_count	kind	role	domain	fully_read	evidence_file	evidence_section	line_ranges_read	routes_screens_actions	backend_consumers_or_contracts	auth_ownership	state_transitions	payment_insurance_relevance	error_empty_loading_retry_cancel	existing_tests	notes
nabd_plus_patient_app.zip	google-services.json	ea2baa5de1def95c7ccf94bd22e473a2ba81cb48f48750a7679b2a1664a97ec7	48	OWNED_SOURCE_OR_CONFIG	client/state/service	identity/session	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/google-services.json.md	Complete decoded member bytes; static semantic signals	1-48							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	app.json	a2b9a86e0c5238e73a8f9d6b1b98b5d7369b3b841146ae2137134e31cfd54b02	149	OWNED_SOURCE_OR_CONFIG	source/config	identity/session	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/app.json.md	Complete decoded member bytes; static semantic signals	1-149	"103: ""expo-router"",; 135: ""expo-splash-screen"",; 146: ""typedRoutes"": true"		"54: ""permissions"": [; 55: ""android.permission.CAMERA"",; 56: ""android.permission.READ_EXTERNAL_STORAGE"",; 57: ""android.permission.WRITE_EXTERNAL_STORAGE"",; 58: ""android.permission.ACCESS_FINE_LOCATION"",; 59: ""android.permission.ACCESS_COARSE_LOCATION"",; 60: ""android.permission.RECORD_AUDIO"",; 61: ""android.permission.USE_FINGERPRINT"","	"64: ""android.permission.RECEIVE_BOOT_COMPLETED"",; 69: ""android.permission.READ_PHONE_STATE"",; 142: ""expo-status-bar"","			Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	babel.config.js	52198d6a01f6e9638726bbe3325449cb24f5df9f129fb2d4dbd4138e5dcabeb3	37	OWNED_SOURCE_OR_CONFIG	config/build	catalog/discovery	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/babel.config.js.md	Complete decoded member bytes; static semantic signals	1-37				8: // or a duplicate-plugin error. The preset handles it.		8: // or a duplicate-plugin error. The preset handles it.	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	docker-compose.yml	ba01b9639b87d1a3bc780d0bb1e53527d6328d2cd861580d83637af5fe82935a	12	OWNED_SOURCE_OR_CONFIG	config/build	catalog/discovery	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/docker-compose.yml.md	Complete decoded member bytes; static semantic signals	1-12							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	tsconfig.json	4a51595b5af784b2c435f97fdf2dfb6b2d6a992eeb85e6a58ed07bef99e6e7ed	58	OWNED_SOURCE_OR_CONFIG	config/build	catalog/discovery	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/tsconfig.json.md	Complete decoded member bytes; static semantic signals	1-58							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	eas.json	0851db62ba80a96c80c3aa4dc7908668d1ceb9738a21683bf3f482c9d6642320	14	OWNED_SOURCE_OR_CONFIG	source/config	cross-surface	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/eas.json.md	Complete decoded member bytes; static semantic signals	1-14	"13: ""submit"": { ""production"": {} }"						Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	metro.config.js	ae93e256280600d3e1c87242f247a8d6d65e61e25d9d9c017cd7cdc9d0d47502	8	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/metro.config.js.md	Complete decoded member bytes; static semantic signals	1-8							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	README.md	62b3c5652d31c99d21000c39b165143e927260af38d25060c1a30ef5130d945b	63	OWNED_SOURCE_OR_CONFIG	source/config	family/health	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/README.md.md	Complete decoded member bytes; static semantic signals	1-63	41: | `expo-router` | `~4.0.20` ← v4 NOT v5 |; 63: ### 📱 141 Screens across 27 feature groups			27: The error `Cannot find module 'react-native-worklets/plugin'` was caused by:		27: The error `Cannot find module 'react-native-worklets/plugin'` was caused by:	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd_plus_patient_app.zip	.npmrc	8610723edb7c3f207f641586b91de45eb39e34244919f3390ae62ec0d0ae501a		EXCLUSION_OTHER	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_OTHER; not a semantic source member
nabd_plus_patient_app.zip	eslint.config.js	6ea734f0e3f5b7c3c5720b3c467695516b14935724a78386b8534abc2959da12	10	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-patient-mobile/evidence/eslint.config.js.md	Complete decoded member bytes; static semantic signals	1-10							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
