archive_path	member_path	sha256	line_count	kind	role	domain	fully_read	evidence_file	evidence_section	line_ranges_read	routes_screens_actions	backend_consumers_or_contracts	auth_ownership	state_transitions	payment_insurance_relevance	error_empty_loading_retry_cancel	existing_tests	notes
nabd-patient-web.zip	NABDAH_PROJECT_REFERENCE.md	cfeda7126d562bbf26a35af5913e2507421939522445fd33d17b544a3665ada0	1800	OWNED_SOURCE_OR_CONFIG	source/config	pharmacy/orders	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/NABDAH_PROJECT_REFERENCE.md.md	Complete decoded member bytes; static semantic signals	1-1800	28: | Patient App | تجربة المريض على الهاتف والويب حيث تدعمها Expo | React Native/Expo Router | تشمل عددًا كبيرًا من مسارات الصحة والحجز والدفع والاتصال |; 30: | Admin Dashboard | الإدارة، الرقابة، الكتالوج، المال، الأمن، المزودون، الدعم والتحليلات | Next.js Pages Router | production build تحقق سابقاً من 34 صفحة، وتبقى جولة RTL/تعدد لغوي مستقلة |; 39: Client screen; 57: مسارات المصادقة تشمل تسجيل دخول المريض، تسجيل دخول المزود من `/provider/auth/login`، وتسجيل دخول الإدارة مع 2FA/OTP عندما يتطلب الحساب ذلك. يجب عدم وضع JWT أو OTP في logs أو التقارير. حدود rate limiting جزء من العقد التشغيلي وليست مجرد واجه; 63: الوحدات المكتشفة تشمل المصادقة والمستخدمين، الحسابات والملفات، provider profiles، appointments/bookings، orders/pharmacy، payments/wallet/billing، labs، radiology، nursing/home care، hospital/facility، chat، realtime، livekit، push/notifica; 65: كل وحدة تتكون عادة من module/controller/service/schema/model/spec. الـcontroller يعرّف routes، الـguard يطبق authentication/roles، الـservice يطبق business policy، وMongo schemas/models تمثل البيانات. يجب استخدام هذه الطبقات بدلاً من وضع au; 81: order يمر عادة من الإنشاء إلى حالة تشغيلية مثل pending أو escalated أو assigned ثم transitions أخرى حتى delivered/cancelled. cancel وtracking وread/update ليست متاحة لأي مستخدم يملك المعرف. الإصلاح الأخير جعل `OrdersService` و`OrdersControl; 83: أثبت اختبار الإنتاج السابق وجود BOLA في النسخة القديمة: patient2 قرأ order patient1 بنتيجة 200 وألغاه بنتيجة 201. هذا order sandbox موثق بالمعرف `91047ef2-ad36-422a-a184-629693e7c729`، قبل الاختبار `ESCALATED_TO_ADMIN/pending` وبعده `CANCEL	27: | Backend + Database | المصادقة، الصلاحيات، العقود، الأعمال، التخزين، الإشعارات، الدفع، الدردشة، LiveKit، والعمليات | NestJS/TypeScript، MongoDB، Redis/BullMQ، WebSocket/LiveKit، FastAPI مكمّل | build وtests محلية ناجحة في آخر جولات، مع بنو; 57: مسارات المصادقة تشمل تسجيل دخول المريض، تسجيل دخول المزود من `/provider/auth/login`، وتسجيل دخول الإدارة مع 2FA/OTP عندما يتطلب الحساب ذلك. يجب عدم وضع JWT أو OTP في logs أو التقارير. حدود rate limiting جزء من العقد التشغيلي وليست مجرد واجه; 63: الوحدات المكتشفة تشمل المصادقة والمستخدمين، الحسابات والملفات، provider profiles، appointments/bookings، orders/pharmacy، payments/wallet/billing، labs، radiology، nursing/home care، hospital/facility، chat، realtime، livekit، push/notifica; 69: الموارد الرئيسية التي يجب أن يفهمها المطور هي user/account، provider profile، appointment، order، payment/ledger/wallet record، chat thread/message، call session، push token/log، notification، facility/hospital staff، lab/radiology sample أ; 75: ChatService يدير thread membership، الرسائل، read/delivered state، reactions، pin/edit/delete، المرفقات، والإشعارات. ChatGateway يتعامل مع Socket.IO events. بعد إصلاح P0، يوجد `chat.service.ts` مستقل لتجنب circular dependency، و`join_thread; 81: order يمر عادة من الإنشاء إلى حالة تشغيلية مثل pending أو escalated أو assigned ثم transitions أخرى حتى delivered/cancelled. cancel وtracking وread/update ليست متاحة لأي مستخدم يملك المعرف. الإصلاح الأخير جعل `OrdersService` و`OrdersControl; 140: تشمل auth/provider login، onboarding/profile، dashboard، availability/working hours، bookings/appointments، notifications، chat، calls، earnings/wallet/payout، settings/security، support، وprofile verification. يجب أن تأتي الحالات والأرقام ; 189: | تسجيل provider | `/provider/auth/login` | role/provider_type صحيحان، profile approved، وصلاحياته محدودة |	29: | Provider App | تجربة الطبيب والصيدلية والمختبر والأشعة والتمريض والمستشفى | React Native/Expo | سلوك الواجهة يتغير حسب provider type وpermissions |; 30: | Admin Dashboard | الإدارة، الرقابة، الكتالوج، المال، الأمن، المزودون، الدعم والتحليلات | Next.js Pages Router | production build تحقق سابقاً من 34 صفحة، وتبقى جولة RTL/تعدد لغوي مستقلة |; 34: المريض أو المزود أو المدير يتصل بالواجهة المناسبة، والواجهة تستخدم API contracts وauthentication/session state للوصول إلى backend. الخلفية تتحقق من JWT، الدور، نوع المزود، الملكية، حالة المورد، والقيود التشغيلية قبل القراءة أو التعديل. Mong; 40: -> auth/session + typed request; 42: -> guard: JWT + roles + provider_type + ownership; 53: الأدوار الرئيسية هي patient، provider، admin، مع provider types تشمل doctor، pharmacy، laboratory، radiology، nursing/home care، hospital، وغيرها. إصلاح FIX2 وحّد الأدوار الفعالة بحيث ينظر الحارس إلى `role` و`provider_type` وaliases مثل `la; 55: قاعدة الصلاحية ليست الدور فقط. يجب أيضاً فحص ملكية المورد، عضوية thread، ارتباط provider بالمريض أو الموعد، تعيين الصيدلية، حالة الطلب، وحالة العملية. لذلك فإن `admin` ليس بديلاً عن تدقيق ownership في كل mutation، وpatient2 لا يجوز له قراءة; 57: مسارات المصادقة تشمل تسجيل دخول المريض، تسجيل دخول المزود من `/provider/auth/login`، وتسجيل دخول الإدارة مع 2FA/OTP عندما يتطلب الحساب ذلك. يجب عدم وضع JWT أو OTP في logs أو التقارير. حدود rate limiting جزء من العقد التشغيلي وليست مجرد واجه	34: المريض أو المزود أو المدير يتصل بالواجهة المناسبة، والواجهة تستخدم API contracts وauthentication/session state للوصول إلى backend. الخلفية تتحقق من JWT، الدور، نوع المزود، الملكية، حالة المورد، والقيود التشغيلية قبل القراءة أو التعديل. Mong; 46: -> client state, navigation, notification, or audit record; 69: الموارد الرئيسية التي يجب أن يفهمها المطور هي user/account، provider profile، appointment، order، payment/ledger/wallet record، chat thread/message، call session، push token/log، notification، facility/hospital staff، lab/radiology sample أ; 75: ChatService يدير thread membership، الرسائل، read/delivered state، reactions، pin/edit/delete، المرفقات، والإشعارات. ChatGateway يتعامل مع Socket.IO events. بعد إصلاح P0، يوجد `chat.service.ts` مستقل لتجنب circular dependency، و`join_thread; 77: Realtime Gateway ينقل typing وmessage/call signaling، لكن النقل لا يساوي authorization: يجب أن تكون العضوية والجلسة الحقيقية معروفة قبل relay. LiveKitService يشتق أطراف المكالمة من appointment/call session، ويفرض ownership في initiate/join/; 81: order يمر عادة من الإنشاء إلى حالة تشغيلية مثل pending أو escalated أو assigned ثم transitions أخرى حتى delivered/cancelled. cancel وtracking وread/update ليست متاحة لأي مستخدم يملك المعرف. الإصلاح الأخير جعل `OrdersService` و`OrdersControl; 83: أثبت اختبار الإنتاج السابق وجود BOLA في النسخة القديمة: patient2 قرأ order patient1 بنتيجة 200 وألغاه بنتيجة 201. هذا order sandbox موثق بالمعرف `91047ef2-ad36-422a-a184-629693e7c729`، قبل الاختبار `ESCALATED_TO_ADMIN/pending` وبعده `CANCEL; 87: توجد مسارات payment intent وwebhook وwallet/billing وpharmacy mutations وrefund. الاختبار المالي يجب أن يستخدم sandbox gateway، يتحقق من signature، يمنع replay/idempotency duplication، ويثبت ledger before/after. في آخر محاولة production ori	49: في أي تعديل جديد يجب أن يبقى هذا التسلسل واضحاً. لا يجوز أن تنشئ الواجهة نجاحاً محلياً أو order/payment/call وهمياً إذا لم يعطِ backend معرفاً وحالة حقيقية.; 63: الوحدات المكتشفة تشمل المصادقة والمستخدمين، الحسابات والملفات، provider profiles، appointments/bookings، orders/pharmacy، payments/wallet/billing، labs، radiology، nursing/home care، hospital/facility، chat، realtime، livekit، push/notifica; 69: الموارد الرئيسية التي يجب أن يفهمها المطور هي user/account، provider profile، appointment، order، payment/ledger/wallet record، chat thread/message، call session، push token/log، notification، facility/hospital staff، lab/radiology sample أ; 77: Realtime Gateway ينقل typing وmessage/call signaling، لكن النقل لا يساوي authorization: يجب أن تكون العضوية والجلسة الحقيقية معروفة قبل relay. LiveKitService يشتق أطراف المكالمة من appointment/call session، ويفرض ownership في initiate/join/; 83: أثبت اختبار الإنتاج السابق وجود BOLA في النسخة القديمة: patient2 قرأ order patient1 بنتيجة 200 وألغاه بنتيجة 201. هذا order sandbox موثق بالمعرف `91047ef2-ad36-422a-a184-629693e7c729`، قبل الاختبار `ESCALATED_TO_ADMIN/pending` وبعده `CANCEL; 87: توجد مسارات payment intent وwebhook وwallet/billing وpharmacy mutations وrefund. الاختبار المالي يجب أن يستخدم sandbox gateway، يتحقق من signature، يمنع replay/idempotency duplication، ويثبت ledger before/after. في آخر محاولة production ori; 108: تشمل onboarding، auth/login/OTP، tabs الرئيسية، profile، settings، notifications، support، search، articles، offers، community، reviews، wallet، payments، loyalty، family، health records، reports، وservices. التهيئة تدعم كشف اللغة والثيم من; 116: مجموعة pharmacy وorders وdelivery وreturns وpayments تغطي البحث عن الدواء، السلة، checkout، اختيار delivery أو pickup، الموقع عند الحاجة، إنشاء الطلب، عروض الصيدليات/bids، التتبع، الدفع، والاسترجاع. القاعدة المهمة هي عدم إنشاء order قبل اكت	75: ChatService يدير thread membership، الرسائل، read/delivered state، reactions، pin/edit/delete، المرفقات، والإشعارات. ChatGateway يتعامل مع Socket.IO events. بعد إصلاح P0، يوجد `chat.service.ts` مستقل لتجنب circular dependency، و`join_thread; 81: order يمر عادة من الإنشاء إلى حالة تشغيلية مثل pending أو escalated أو assigned ثم transitions أخرى حتى delivered/cancelled. cancel وtracking وread/update ليست متاحة لأي مستخدم يملك المعرف. الإصلاح الأخير جعل `OrdersService` و`OrdersControl; 83: أثبت اختبار الإنتاج السابق وجود BOLA في النسخة القديمة: patient2 قرأ order patient1 بنتيجة 200 وألغاه بنتيجة 201. هذا order sandbox موثق بالمعرف `91047ef2-ad36-422a-a184-629693e7c729`، قبل الاختبار `ESCALATED_TO_ADMIN/pending` وبعده `CANCEL; 98: | error-code registry | stable codes، HTTP mapping، localization، correlation، عدم تسريب stack/PII | مسودة مراجعة وغير مفعلة |; 104: تطبيق المريض مبني حول Expo Router، وفيه layouts ومجموعات مسارات متعددة. الشاشة ليست فقط ملفاً؛ يجب فهم ما تقرأه وما تكتبه، والحساب المستخدم، وحالة loading/empty/error، وربطها بالـdeep links والإشعارات.; 192: | دردشة | thread membership → send/read/delivered | foreign user مرفوض وoffline replay مطابق للعقد |; 194: | order | checkout → create → tracking/cancel | owner/pharmacy/admin فقط، وledger متسق |; 226: 5. مراجعة واعتماد عقود consent وQR وemergency location وerror-code registry؛ تبقى كلها fail-closed وغير مفعلة.	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	.prettierrc	087532218269eb851c22dcc3d5234ea46bfa513b494a3d7b167b1c1f48c410c5		EXCLUSION_OTHER	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_OTHER; not a semantic source member
nabd-patient-web.zip	proxy.ts	98523af50b46f7777d3c49d95698a60b636bc53715ff009dbff028c44630a862	47	OWNED_SOURCE_OR_CONFIG	source/config	cross-surface	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/proxy.ts.md	Complete decoded member bytes; static semantic signals	1-47							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	tsconfig.json	58fa60897c1885d208bb750587cbbdc8a0cf617a5c1973a52dd76a51e96c6bb1	62	OWNED_SOURCE_OR_CONFIG	config/build	family/health	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/tsconfig.json.md	Complete decoded member bytes; static semantic signals	1-62							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	next.config.ts	486ee48576c4a8e4c4a94d1095b8b5a92feb82c666d65fededbd599eadb0f32c	24	OWNED_SOURCE_OR_CONFIG	config/build	insurance/payment	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/next.config.ts.md	Complete decoded member bytes; static semantic signals	1-24			"14: { key: ""Permissions-Policy"", value: ""camera=(self), microphone=(self), geolocation=(self), payment=(self)"" },"		"14: { key: ""Permissions-Policy"", value: ""camera=(self), microphone=(self), geolocation=(self), payment=(self)"" },"		Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		EXCLUSION_OTHER	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_OTHER; not a semantic source member
nabd-patient-web.zip	vitest.config.ts	122138b5ac4a9dc759403a3146fce8c6074776602c9fc3439f8d9f3803828956	20	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/vitest.config.ts.md	Complete decoded member bytes; static semantic signals	1-20							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	package.json	ea3064c638d18f64d00e406126bf9b9575b12a920a4f33bef91b91d52e2a7306	117	OWNED_SOURCE_OR_CONFIG	source/config	consultation/booking	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/package.json.md	Complete decoded member bytes; static semantic signals	1-117		"47: ""@trpc/client"": ""^11.18.0"",; 48: ""@trpc/react-query"": ""^11.18.0"",; 49: ""@trpc/server"": ""^11.18.0"",; 50: ""axios"": ""^1.19.0"","	"54: ""cookie"": ""^1.0.2"",; 61: ""input-otp"": ""^1.4.2"","		"29: ""@radix-ui/react-hover-card"": ""^1.1.15"","		Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	.env.production.example	f61af20bb6b52bd668c764b96f4b22d626bbdc6494d5961fbbfbad42493e54ad	17	OWNED_SOURCE_OR_CONFIG	config/build	identity/session	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/.env.production.example.md	Complete decoded member bytes; static semantic signals	1-17		6: NABD_API_BASE_URL=https://api.nabd.plus/api/v1	14: # NABD_SANDBOX_OWNER_EMAIL=; 15: # NABD_SANDBOX_OWNER_PASSWORD=	2: # Copy to .env.production on the deployment host and replace only with approved values.; 11: # Optional local gates; keep disabled in production unless an approved test run is active.			Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
nabd-patient-web.zip	drizzle.config.ts	9610673b3fe7b6b950a8e7e54cb1e91f9dd25f87d7ae6a41d2f6ada957065d01	15	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-patient-web/evidence/drizzle.config.ts.md	Complete decoded member bytes; static semantic signals	1-15				"5: throw new Error(""DATABASE_URL is required to run drizzle commands"");"		"5: throw new Error(""DATABASE_URL is required to run drizzle commands"");"	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
