screen_or_member	domain	role	static_actions_api_state_signals	backend/payment/journey_status	gap_or_required_test
NABDAH_PROJECT_REFERENCE.md	pharmacy/orders	source/config	28: | Patient App | تجربة المريض على الهاتف والويب حيث تدعمها Expo | React Native/Expo Router | تشمل عددًا كبيرًا من مسارات الصحة والحجز والدفع والاتصال | || 30: | Admin Dashboard | الإدارة، الرقابة، الكتالوج، المال، الأمن، المزودون، الدعم والتحليلات | Next.js Pages Router | production build تحقق سابقاً من 34 صفحة، وتبقى جولة RTL/تعدد لغوي مستقلة | || 39: Client screen || 57: مسارات المصادقة تشمل تسجيل دخول المريض، تسجيل دخول المزود من `/provider/auth/login`، وتسجيل دخول الإدارة مع 2FA/OTP عندما يتطلب الحساب ذلك. يجب عدم وضع JWT أو OTP في logs أو التقارير. حدود rate limiting جزء من العقد التشغيلي وليست مجرد واجه || 63: الوحدات المكتشفة تشمل المصادقة والمستخدمين، الحسابات والملفات، provider profiles، appointments/bookings، orders/pharmacy، payments/wallet/billing، labs، radiology، nursing/home care، hospital/facility، chat، realtime، livekit، push/notifica || 65: كل وحدة تتكون عادة من module/controller/service/schema/model/spec. الـcontroller يعرّف routes، الـguard يطبق authentication/roles، الـservice يطبق business policy، وMongo schemas/models تمثل البيانات. يجب استخدام هذه الطبقات بدلاً من وضع au || 81: order يمر عادة من الإنشاء إلى حالة تشغيلية مثل pending أو escalated أو assigned ثم transitions أخرى حتى delivered/cancelled. cancel وtracking وread/update ليست متاحة لأي مستخدم يملك المعرف. الإصلاح الأخير جعل `OrdersService` و`OrdersControl || 83: أثبت اختبار الإنتاج السابق وجود BOLA في النسخة القديمة: patient2 قرأ order patient1 بنتيجة 200 وألغاه بنتيجة 201. هذا order sandbox موثق بالمعرف `91047ef2-ad36-422a-a184-629693e7c729`، قبل الاختبار `ESCALATED_TO_ADMIN/pending` وبعده `CANCEL || 87: توجد مسارات payment intent وwebhook وwallet/billing وpharmacy mutations وrefund. الاختبار المالي يجب أن يستخدم sandbox gateway، يتحقق من signature، يمنع replay/idempotency duplication، ويثبت ledger before/after. في آخر محاولة production ori || 104: تطبيق المريض مبني حول Expo Router، وفيه layouts ومجموعات مسارات متعددة. الشاشة ليست فقط ملفاً؛ يجب فهم ما تقرأه وما تكتبه، والحساب المستخدم، وحالة loading/empty/error، وربطها بالـdeep links والإشعارات. || 108: تشمل onboarding، auth/login/OTP، tabs الرئيسية، profile، settings، notifications، support، search، articles، offers، community، reviews، wallet، payments، loyalty، family، health records، reports، وservices. التهيئة تدعم كشف اللغة والثيم من || 116: مجموعة pharmacy وorders وdelivery وreturns وpayments تغطي البحث عن الدواء، السلة، checkout، اختيار delivery أو pickup، الموقع عند الحاجة، إنشاء الطلب، عروض الصيدليات/bids، التتبع، الدفع، والاسترجاع. القاعدة المهمة هي عدم إنشاء order قبل اكت || 27: | Backend + Database | المصادقة، الصلاحيات، العقود، الأعمال، التخزين، الإشعارات، الدفع، الدردشة، LiveKit، والعمليات | NestJS/TypeScript، MongoDB، Redis/BullMQ، WebSocket/LiveKit، FastAPI مكمّل | build وtests محلية ناجحة في آخر جولات، مع بنو || 57: مسارات المصادقة تشمل تسجيل دخول المريض، تسجيل دخول المزود من `/provider/auth/login`، وتسجيل دخول الإدارة مع 2FA/OTP عندما يتطلب الحساب ذلك. يجب عدم وضع JWT أو OTP في logs أو التقارير. حدود rate limiting جزء من العقد التشغيلي وليست مجرد واجه || 63: الوحدات المكتشفة تشمل المصادقة والمستخدمين، الحسابات والملفات، provider profiles، appointments/bookings، orders/pharmacy، payments/wallet/billing، labs، radiology، nursing/home care، hospital/facility، chat، realtime، livekit، push/notifica || 69: الموارد الرئيسية التي يجب أن يفهمها المطور هي user/account، provider profile، appointment، order، payment/ledger/wallet record، chat thread/message، call session، push token/log، notification، facility/hospital staff، lab/radiology sample أ || 75: ChatService يدير thread membership، الرسائل، read/delivered state، reactions، pin/edit/delete، المرفقات، والإشعارات. ChatGateway يتعامل مع Socket.IO events. بعد إصلاح P0، يوجد `chat.service.ts` مستقل لتجنب circular dependency، و`join_thread || 81: order يمر عادة من الإنشاء إلى حالة تشغيلية مثل pending أو escalated أو assigned ثم transitions أخرى حتى delivered/cancelled. cancel وtracking وread/update ليست متاحة لأي مستخدم يملك المعرف. الإصلاح الأخير جعل `OrdersService` و`OrdersControl || 140: تشمل auth/provider login، onboarding/profile، dashboard، availability/working hours، bookings/appointments، notifications، chat، calls، earnings/wallet/payout، settings/security، support، وprofile verification. يجب أن تأتي الحالات والأرقام  || 189: | تسجيل provider | `/provider/auth/login` | role/provider_type صحيحان، profile approved، وصلاحياته محدودة | || 194: | order | checkout → create → tracking/cancel | owner/pharmacy/admin فقط، وledger متسق | || 214: | `5bb20b5` | عقود Phase 6 fail-closed ووثائقها وWebSocket CORS | || 224: 3. إعادة اختبار WebSocket بعد CORS fail-closed مع انتظار disconnect للـtoken المعدل ورفض Origin غير موثوق وعدم استقبال events. || 265: تطبيق المزود يضم shared screens وcomponents وapi/services/context/security. يجب قراءة provider type والpermission قبل اعتبار أي screen متاحة لكل المزودين.	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
proxy.ts	cross-surface	source/config		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
tsconfig.json	family/health	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
next.config.ts	insurance/payment	config/build	"14: { key: ""Permissions-Policy"", value: ""camera=(self), microphone=(self), geolocation=(self), payment=(self)"" }, || 14: { key: ""Permissions-Policy"", value: ""camera=(self), microphone=(self), geolocation=(self), payment=(self)"" },"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
vitest.config.ts	cross-surface	config/build		UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
package.json	consultation/booking	source/config	"47: ""@trpc/client"": ""^11.18.0"", || 48: ""@trpc/react-query"": ""^11.18.0"", || 49: ""@trpc/server"": ""^11.18.0"", || 50: ""axios"": ""^1.19.0"", || 54: ""cookie"": ""^1.0.2"", || 61: ""input-otp"": ""^1.4.2"", || 29: ""@radix-ui/react-hover-card"": ""^1.1.15"","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
.env.production.example	identity/session	config/build	6: NABD_API_BASE_URL=https://api.nabd.plus/api/v1 || 14: # NABD_SANDBOX_OWNER_EMAIL= || 15: # NABD_SANDBOX_OWNER_PASSWORD= || 2: # Copy to .env.production on the deployment host and replace only with approved values. || 11: # Optional local gates; keep disabled in production unless an approved test run is active.	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
drizzle.config.ts	cross-surface	config/build	"5: throw new Error(""DATABASE_URL is required to run drizzle commands""); || 5: throw new Error(""DATABASE_URL is required to run drizzle commands"");"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
template.json	consultation/booking	source/config	"12: ""drizzle/schema.ts"": ""import { int, mysqlEnum, mysqlTable, text, timestamp, varchar } from \""drizzle-orm/mysql-core\"";\n\n/**\n * Core user table backing auth flow.\n * Extend this file with additional tables as your product grows.\n * Colu || 13: ""server/db.ts"": ""import { eq } from \""drizzle-orm\"";\nimport { drizzle } from \""drizzle-orm/mysql2\"";\nimport { InsertUser, users } from \""../drizzle/schema\"";\nimport { ENV } from './_core/env';\n\nlet _db: ReturnType<typeof drizzle> | nul || 14: ""server/routers.ts"": ""import { COOKIE_NAME } from \""@shared/const\"";\nimport { getSessionCookieOptions } from \""./_core/cookies\"";\nimport { systemRouter } from \""./_core/systemRouter\"";\nimport { publicProcedure, router } from \""./_core/tr || 15: ""client/index.html"": ""<!doctype html>\n<html lang=\""en\"">\n\n  <head>\n    <meta charset=\""UTF-8\"" />\n    <meta\n      name=\""viewport\""\n      content=\""width=device-width, initial-scale=1.0, maximum-scale=1\"" />\n    <title>نبض بلس</titl || 16: ""client/src/App.tsx"": ""import { Toaster } from \""@/components/ui/sonner\"";\nimport { TooltipProvider } from \""@/components/ui/tooltip\"";\nimport NotFound from \""@/pages/NotFound\"";\nimport { Route, Switch } from \""wouter\"";\nimport ErrorBou || 17: ""client/src/lib/trpc.ts"": ""import { createTRPCReact } from \""@trpc/react-query\"";\nimport type { AppRouter } from \""../../../server/routers\"";\n\nexport const trpc = createTRPCReact<AppRouter>();"", || 18: ""client/src/pages/Home.tsx"": ""import { useAuth } from \""@/_core/hooks/useAuth\"";\nimport { Button } from \""@/components/ui/button\"";\nimport { Loader2 } from \""lucide-react\"";\nimport { Streamdown } from 'streamdown';\n\n/**\n * All content || 19: ""server/auth.logout.test.ts"": ""import { describe, expect, it } from \""vitest\"";\nimport { appRouter } from \""./routers\"";\nimport { COOKIE_NAME } from \""../shared/const\"";\nimport type { TrpcContext } from \""./_core/context\"";\n\ntype Cooki || 11: ""package.json"": ""{\n  \""name\"": \""nabd-plus-web\"",\n  \""version\"": \""1.0.0\"",\n  \""type\"": \""module\"",\n  \""license\"": \""MIT\"",\n  \""scripts\"": {\n    \""dev\"": \""NODE_ENV=development tsx watch server/_core/index.ts\"",\n    \""build\"": \""vite || 14: ""server/routers.ts"": ""import { COOKIE_NAME } from \""@shared/const\"";\nimport { getSessionCookieOptions } from \""./_core/cookies\"";\nimport { systemRouter } from \""./_core/systemRouter\"";\nimport { publicProcedure, router } from \""./_core/tr || 17: ""client/src/lib/trpc.ts"": ""import { createTRPCReact } from \""@trpc/react-query\"";\nimport type { AppRouter } from \""../../../server/routers\"";\n\nexport const trpc = createTRPCReact<AppRouter>();"", || 19: ""server/auth.logout.test.ts"": ""import { describe, expect, it } from \""vitest\"";\nimport { appRouter } from \""./routers\"";\nimport { COOKIE_NAME } from \""../shared/const\"";\nimport type { TrpcContext } from \""./_core/context\"";\n\ntype Cooki || 11: ""package.json"": ""{\n  \""name\"": \""nabd-plus-web\"",\n  \""version\"": \""1.0.0\"",\n  \""type\"": \""module\"",\n  \""license\"": \""MIT\"",\n  \""scripts\"": {\n    \""dev\"": \""NODE_ENV=development tsx watch server/_core/index.ts\"",\n    \""build\"": \""vite || 12: ""drizzle/schema.ts"": ""import { int, mysqlEnum, mysqlTable, text, timestamp, varchar } from \""drizzle-orm/mysql-core\"";\n\n/**\n * Core user table backing auth flow.\n * Extend this file with additional tables as your product grows.\n * Colu || 13: ""server/db.ts"": ""import { eq } from \""drizzle-orm\"";\nimport { drizzle } from \""drizzle-orm/mysql2\"";\nimport { InsertUser, users } from \""../drizzle/schema\"";\nimport { ENV } from './_core/env';\n\nlet _db: ReturnType<typeof drizzle> | nul || 14: ""server/routers.ts"": ""import { COOKIE_NAME } from \""@shared/const\"";\nimport { getSessionCookieOptions } from \""./_core/cookies\"";\nimport { systemRouter } from \""./_core/systemRouter\"";\nimport { publicProcedure, router } from \""./_core/tr || 18: ""client/src/pages/Home.tsx"": ""import { useAuth } from \""@/_core/hooks/useAuth\"";\nimport { Button } from \""@/components/ui/button\"";\nimport { Loader2 } from \""lucide-react\"";\nimport { Streamdown } from 'streamdown';\n\n/**\n * All content || 19: ""server/auth.logout.test.ts"": ""import { describe, expect, it } from \""vitest\"";\nimport { appRouter } from \""./routers\"";\nimport { COOKIE_NAME } from \""../shared/const\"";\nimport type { TrpcContext } from \""./_core/context\"";\n\ntype Cooki || 13: ""server/db.ts"": ""import { eq } from \""drizzle-orm\"";\nimport { drizzle } from \""drizzle-orm/mysql2\"";\nimport { InsertUser, users } from \""../drizzle/schema\"";\nimport { ENV } from './_core/env';\n\nlet _db: ReturnType<typeof drizzle> | nul || 14: ""server/routers.ts"": ""import { COOKIE_NAME } from \""@shared/const\"";\nimport { getSessionCookieOptions } from \""./_core/cookies\"";\nimport { systemRouter } from \""./_core/systemRouter\"";\nimport { publicProcedure, router } from \""./_core/tr || 16: ""client/src/App.tsx"": ""import { Toaster } from \""@/components/ui/sonner\"";\nimport { TooltipProvider } from \""@/components/ui/tooltip\"";\nimport NotFound from \""@/pages/NotFound\"";\nimport { Route, Switch } from \""wouter\"";\nimport ErrorBou || 18: ""client/src/pages/Home.tsx"": ""import { useAuth } from \""@/_core/hooks/useAuth\"";\nimport { Button } from \""@/components/ui/button\"";\nimport { Loader2 } from \""lucide-react\"";\nimport { Streamdown } from 'streamdown';\n\n/**\n * All content || 19: ""server/auth.logout.test.ts"": ""import { describe, expect, it } from \""vitest\"";\nimport { appRouter } from \""./routers\"";\nimport { COOKIE_NAME } from \""../shared/const\"";\nimport type { TrpcContext } from \""./_core/context\"";\n\ntype Cooki || 11: ""package.json"": ""{\n  \""name\"": \""nabd-plus-web\"",\n  \""version\"": \""1.0.0\"",\n  \""type\"": \""module\"",\n  \""license\"": \""MIT\"",\n  \""scripts\"": {\n    \""dev\"": \""NODE_ENV=development tsx watch server/_core/index.ts\"",\n    \""build\"": \""vite"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
vite.config.ts	identity/session	config/build	"19: type LogSource = ""browserConsole"" | ""networkRequests"" | ""sessionReplay""; || 74: * - Files: browserConsole.log, networkRequests.log, sessionReplay.log || 115: if (payload.sessionEvents?.length > 0) { || 116: writeToLogFile(""sessionReplay"", payload.sessionEvents); || 48: /* ignore trim errors */ || 120: res.end(JSON.stringify({ success: true })); || 129: res.end(JSON.stringify({ success: false, error: String(e) })); || 145: res.end(JSON.stringify({ success: false, error: String(e) })); || 169: emptyOutDir: true, || 107: const handlePayload = (payload: any) => { || 109: if (payload.consoleLogs?.length > 0) { || 110: writeToLogFile(""browserConsole"", payload.consoleLogs); || 112: if (payload.networkRequests?.length > 0) { || 113: writeToLogFile(""networkRequests"", payload.networkRequests); || 115: if (payload.sessionEvents?.length > 0) { || 116: writeToLogFile(""sessionReplay"", payload.sessionEvents); || 126: handlePayload(reqBody); || 141: const payload = JSON.parse(body); || 142: handlePayload(payload); || 47: } catch { || 48: /* ignore trim errors */ || 127: } catch (e) { || 129: res.end(JSON.stringify({ success: false, error: String(e) })); || 143: } catch (e) {"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
