archive_path	member_path	sha256	line_count	kind	role	domain	fully_read	evidence_file	evidence_section	line_ranges_read	routes_screens_actions	backend_consumers_or_contracts	auth_ownership	state_transitions	payment_insurance_relevance	error_empty_loading_retry_cancel	existing_tests	notes
NabdProvider-provider.zip	app.json	c4431ad931af5c7fe1cd8d732f933439982cdda60347aff2538a4b0a022a4e1c	46	OWNED_SOURCE_OR_CONFIG	source/config	identity/session	YES	audit-artifacts/phase0d/phase0d-provider/evidence/app.json.md	Complete decoded member bytes; static semantic signals	1-46		"43: ""apiBaseUrl"": ""https://api.nabd.plus/api/v1"""	"23: ""permissions"": ["				Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
NabdProvider-provider.zip	tsconfig.json	cabcd9ae0a201f231fe91e2fb8b14653173f2d72fa1aef559bee17715f8a98d6	26	OWNED_SOURCE_OR_CONFIG	config/build	cross-surface	YES	audit-artifacts/phase0d/phase0d-provider/evidence/tsconfig.json.md	Complete decoded member bytes; static semantic signals	1-26							Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
NabdProvider-provider.zip	App.tsx	5f8e91e4705d4ff0f36b21bc92c0013bfff055f612c82ac27b9553dc6f8ebb9f	116	OWNED_SOURCE_OR_CONFIG	source/config	pharmacy/orders	YES	audit-artifacts/phase0d/phase0d-provider/evidence/App.tsx.md	Complete decoded member bytes; static semantic signals	1-116	16: import { SplashScreen, WelcomeScreen, LoginScreen, ForgotPasswordScreen } from './src/screens/auth/AuthScreens';; 17: import { PendingDashboard } from './src/screens/auth/PendingDashboard';; 18: import { DoctorRegistration }         from './src/screens/doctor/DoctorRegistration';; 19: import { DoctorDashboardNavigator }   from './src/screens/doctor/DoctorDashboard';; 20: import { FacilityRegistration }       from './src/screens/facility/FacilityRegistration';; 21: import { FacilityDashboardNavigator } from './src/screens/facility/FacilityDashboard';; 22: import { PharmacyRegistration }       from './src/screens/pharmacy/PharmacyRegistration';; 23: import { PharmacyDashboardNavigator } from './src/screens/pharmacy/PharmacyDashboard';	4: * Phase 0-5: Doctor + Facility + Pharmacy + Lab/Radiology + Nursing; 16: import { SplashScreen, WelcomeScreen, LoginScreen, ForgotPasswordScreen } from './src/screens/auth/AuthScreens';; 17: import { PendingDashboard } from './src/screens/auth/PendingDashboard';; 22: import { PharmacyRegistration }       from './src/screens/pharmacy/PharmacyRegistration';; 23: import { PharmacyDashboardNavigator } from './src/screens/pharmacy/PharmacyDashboard';; 26: import { RadiologyRegistration }     from './src/screens/radiology/RadiologyRegistration';; 27: import { RadiologyDashboardNavigator } from './src/screens/radiology/RadiologyDashboard';; 28: import { NursingRegistration }       from './src/screens/nursing/NursingRegistration';	15: import { RootProvider, useAuth, useTheme } from './src/context';; 16: import { SplashScreen, WelcomeScreen, LoginScreen, ForgotPasswordScreen } from './src/screens/auth/AuthScreens';; 38: const { isLoggedIn, user, logout, appState } = useAuth();; 53: const doLogout = async () => { await logout(); };; 54: if (t === 'doctor')   return <DoctorDashboardNavigator   onLogout={doLogout} />;; 55: if (t === 'facility' || t === 'hospital') return <FacilityDashboardNavigator onLogout={doLogout} />;; 56: if (t === 'pharmacy' || t === 'pharmacist') return <PharmacyDashboardNavigator onLogout={doLogout} />;; 57: if (t === 'lab') return <LabDashboardNavigator onLogout={doLogout} />;	6: import React, { useState, useCallback, useEffect } from 'react';; 17: import { PendingDashboard } from './src/screens/auth/PendingDashboard';; 38: const { isLoggedIn, user, logout, appState } = useAuth();; 40: const [pType, setPType]   = useState('doctor');; 42: if (appState === 'checking') {; 49: {appState === 'logged_in' ? (; 60: return <PendingDashboard providerType={t} onExplore={() => {}} onLogout={doLogout} />;; 69: {({ navigation }) => <LoginScreen onSuccess={() => {}} onBack={() => navigation.goBack()} onForgot={() => navigation.navigate('Forgot')} onRegister={() => navigation.navigate('Welcome')} />}		17: import { PendingDashboard } from './src/screens/auth/PendingDashboard';; 60: return <PendingDashboard providerType={t} onExplore={() => {}} onLogout={doLogout} />;; 76: if (pType === 'doctor')   return <DoctorRegistration   onBack={() => navigation.goBack()} onDone={() => navigation.navigate('Pending')} />;; 77: if (pType === 'facility') return <FacilityRegistration onBack={() => navigation.goBack()} onDone={() => navigation.navigate('Pending')} />;; 78: if (pType === 'pharmacy') return <PharmacyRegistration onBack={() => navigation.goBack()} onDone={() => navigation.navigate('Pending')} />;; 79: if (pType === 'lab') return <LabRegistration providerType={pType} onBack={() => navigation.goBack()} onDone={() => navigation.navigate('Pending')} />;; 80: if (pType === 'radiology') return <RadiologyRegistration onBack={() => navigation.goBack()} onDone={() => navigation.navigate('Pending')} />;; 81: if (pType === 'nursing')  return <NursingRegistration  onBack={() => navigation.goBack()} onDone={() => navigation.navigate('Pending')} />;	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
NabdProvider-provider.zip	package.json	905a0867304253b329652a41b6ccf58d7f0fe47424f6912ca4efb99d813b73f4	81	OWNED_SOURCE_OR_CONFIG	source/config	consultation/booking	YES	audit-artifacts/phase0d/phase0d-provider/evidence/package.json.md	Complete decoded member bytes; static semantic signals	1-81	"26: ""axios-retry"": ""^4.5.0"",; 45: ""expo-router"": ""~6.0.24"",; 47: ""expo-splash-screen"": ""~31.0.13"",; 57: ""react-native-screens"": ""~4.16.0"","	"25: ""axios"": ""^1.7.9"",; 26: ""axios-retry"": ""^4.5.0"",; 63: ""socket.io-client"": ""^4.8.3"",; 72: ""axios-mock-adapter"": ""^2.1.0"","		"26: ""axios-retry"": ""^4.5.0"",; 48: ""expo-status-bar"": ""~3.0.9"","		"26: ""axios-retry"": ""^4.5.0"","	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
NabdProvider-provider.zip	package-lock.json	fa16c2e4fc5404e93889b5fb0d001c5ef023fdc0f58662436ee577d1798d77d4	16609	OWNED_SOURCE_OR_CONFIG	source/config	consultation/booking	YES	audit-artifacts/phase0d/phase0d-provider/evidence/package-lock.json.md	Complete decoded member bytes; static semantic signals	1-16609	"23: ""axios-retry"": ""^4.5.0"",; 42: ""expo-router"": ""~6.0.24"",; 44: ""expo-splash-screen"": ""~31.0.13"",; 54: ""react-native-screens"": ""~4.16.0"",; 1514: ""@urql/exchange-retry"": ""^1.3.0"",; 1564: ""expo-router"": ""*"",; 1568: ""expo-router"": {; 5121: ""react-native-screens"": "">= 4.0.0"""	"22: ""axios"": ""^1.7.9"",; 23: ""axios-retry"": ""^4.5.0"",; 60: ""socket.io-client"": ""^4.8.3"",; 69: ""axios-mock-adapter"": ""^2.1.0"",; 78: ""node_modules/@0no-co/graphql.web"": {; 80: ""resolved"": ""https://registry.npmjs.org/@0no-co/graphql.web/-/graphql.web-1.3.3.tgz"",; 83: ""graphql"": ""^14.0.0 || ^15.0.0 || ^16.0.0""; 86: ""graphql"": {"	"97: ""js-tokens"": ""^4.0.0"",; 400: ""js-tokens"": ""^4.0.0"",; 4599: ""integrity"": ""sha512-V9jI6hDjT7l3jsCQD9bLNvDLM3tH/gdbOTp7Tefp3hbbgCGQoK7tUvrWiRlcoBHIZ809ElXwNQwVo0B98LuTXQ=="",; 4918: ""react-refresh"": ""^0.14.0""; 5500: ""@types/tough-cookie"": ""*"",; 5526: ""node_modules/@types/tough-cookie"": {; 5528: ""resolved"": ""https://registry.npmjs.org/@types/tough-cookie/-/tough-cookie-4.0.5.tgz"",; 6252: ""react-refresh"": "">=0.14.0 <1.0.0"""	"23: ""axios-retry"": ""^4.5.0"",; 45: ""expo-status-bar"": ""~3.0.9"",; 1514: ""@urql/exchange-retry"": ""^1.3.0"",; 4324: ""@radix-ui/react-use-controllable-state"": ""1.2.6"",; 4609: ""@radix-ui/react-use-controllable-state"": ""1.2.6"",; 4671: ""@radix-ui/react-use-controllable-state"": ""1.2.6""; 4702: ""node_modules/@radix-ui/react-use-controllable-state"": {; 4704: ""resolved"": ""https://registry.npmjs.org/@radix-ui/react-use-controllable-state/-/react-use-controllable-state-1.2.6.tgz"","	"492: ""@babel/plugin-syntax-decorators"": ""^7.29.7""; 515: ""node_modules/@babel/plugin-syntax-async-generators"": {; 517: ""resolved"": ""https://registry.npmjs.org/@babel/plugin-syntax-async-generators/-/plugin-syntax-async-generators-7.8.4.tgz"",; 526: ""node_modules/@babel/plugin-syntax-bigint"": {; 528: ""resolved"": ""https://registry.npmjs.org/@babel/plugin-syntax-bigint/-/plugin-syntax-bigint-7.8.3.tgz"",; 537: ""node_modules/@babel/plugin-syntax-class-properties"": {; 539: ""resolved"": ""https://registry.npmjs.org/@babel/plugin-syntax-class-properties/-/plugin-syntax-class-properties-7.12.13.tgz"",; 548: ""node_modules/@babel/plugin-syntax-class-static-block"": {"	"23: ""axios-retry"": ""^4.5.0"",; 709: ""node_modules/@babel/plugin-syntax-optional-catch-binding"": {; 711: ""resolved"": ""https://registry.npmjs.org/@babel/plugin-syntax-optional-catch-binding/-/plugin-syntax-optional-catch-binding-7.8.3.tgz"",; 1076: ""node_modules/@babel/plugin-transform-optional-catch-binding"": {; 1078: ""resolved"": ""https://registry.npmjs.org/@babel/plugin-transform-optional-catch-binding/-/plugin-transform-optional-catch-binding-7.29.7.tgz"",; 1514: ""@urql/exchange-retry"": ""^1.3.0"",; 4898: ""@babel/plugin-transform-optional-catch-binding"": ""^7.24.7"",; 5684: ""node_modules/@urql/exchange-retry"": {"	Traceability required; no execution performed	Complete member read from baseline archive bytes; no product code changed
NabdProvider-provider.zip	provider-app.contracts.test.js	6b140be9a95038301fbff37a171012c7f16f5f1abd6de83f44d03d60dd40b99c	80	OWNED_TEST	test	pharmacy/orders	YES	audit-artifacts/phase0d/phase0d-provider/evidence/provider-app.contracts.test.js.md	Complete decoded member bytes; static semantic signals	1-80	6: const dashboard = fs.readFileSync(path.join(root, 'src/screens/doctor/DoctorDashboard.tsx'), 'utf8');; 7: const pharmacyDashboard = fs.readFileSync(path.join(root, 'src/screens/pharmacy/PharmacyDashboard.tsx'), 'utf8');; 8: const radiologyDashboard = fs.readFileSync(path.join(root, 'src/screens/radiology/RadiologyDashboard.tsx'), 'utf8');; 17: ].map(file => fs.readFileSync(path.join(root, 'src/screens', file), 'utf8')).join('\n');	"7: const pharmacyDashboard = fs.readFileSync(path.join(root, 'src/screens/pharmacy/PharmacyDashboard.tsx'), 'utf8');; 8: const radiologyDashboard = fs.readFileSync(path.join(root, 'src/screens/radiology/RadiologyDashboard.tsx'), 'utf8');; 13: 'pharmacy/PharmacyRegistration.tsx',; 15: 'radiology/RadiologyRegistration.tsx',; 16: 'nursing/NursingRegistration.tsx',; 21: expect(config.extra.apiBaseUrl).toBe('https://api.nabd.plus/api/v1');; 42: it('does not ship fake pharmacy/radiology terminal actions', () => {; 45: expect(pharmacyDashboard).toContain(""client.get('/provider/pharmacy/broadcasts')"");"	32: expect(dashboard).toContain('const patientId = apt?.patient_id');; 35: it('contains real provider intake actions and refreshes after mutations', () => {	"36: expect(dashboard).toContain('/provider/jobs/queue?status=incoming&kind=consultation');; 49: expect(pharmacyDashboard).toContain(""client.get('/provider/pharmacy/allocations', { params: { status: 'completed' } })"");; 58: expect(pharmacyDashboard).not.toContain('const [isOnline, setIsOnline] = useState(true);');; 64: expect(dashboard).toContain('setError(true);');"	"31: expect(dashboard).not.toMatch(/price\s*:\s*x\.total\s*\|\|\s*150/);; 61: it('does not mark cash collection or begin a consultation in the doctor UI without a server mutation', () => {; 62: expect(dashboard).not.toContain('Payment locked. Starting consultation.');; 74: expect(registrations).not.toMatch(/clinicPrice:'300'|homePrice:'500'|videoPrice:'200'/);; 75: expect(registrations).not.toMatch(/priceVisit: '150'|priceHour: '80'|priceDay: '800'|priceMonth: '8000'/);; 78: expect(registrations).not.toContain(""cashOnly: true"");"	64: expect(dashboard).toContain('setError(true);');	Member classified as test	Complete member read from baseline archive bytes; no product code changed
NabdProvider-provider.zip	assets/icon.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_BINARY; not a semantic source member
NabdProvider-provider.zip	assets/adaptive-icon.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_BINARY; not a semantic source member
NabdProvider-provider.zip	assets/notification-icon.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_BINARY; not a semantic source member
NabdProvider-provider.zip	assets/splash.png	63ef318d96b5d0d0ceba6e04a4e622b1158335cdc67c49e27839132c6f655058		EXCLUSION_BINARY	source/config	binary/generated	N/A		Explicit binary/generated/other exclusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Traceability required; no execution performed	Explicit exclusion: EXCLUSION_BINARY; not a semantic source member
