path	bytes	no_go	security	payment_insurance	runtime_external	data_mock	performance
audit-artifacts/phase0-main-audit/NABD_Main_Source_Manifest_2026-08-24.md	675517	0	196	231	187	17	34
audit-artifacts/phase0-main-audit/NABD_Main_Source_Exclusions_2026-08-24.md	770	0	0	0	0	0	1
audit-artifacts/phase0-main-audit/phase0-surface-counts.txt	3482	0	0	4	1	0	4
audit-artifacts/phase0-main-audit/NABD_Contract_Route_Raw_Index_2026-08-24.md	470982	0	363	447	166	63	87
audit-artifacts/phase0-main-audit/NabdProvider-provider-surface-index.txt	21788	0	21	10	2	0	3
audit-artifacts/phase0-main-audit/nabd-patient-web-surface-index.txt	138529	0	176	50	97	51	36
audit-artifacts/phase0-main-audit/nabd_plus_patient_app-surface-index.txt	62832	0	69	46	6	5	15
audit-artifacts/phase0-main-audit/nabdah-backend-surface-index.txt	169453	0	156	191	55	0	29
audit-artifacts/phase0-main-audit/web_admin_dashboard-surface-index.txt	19128	0	9	16	1	0	4
audit-artifacts/phase0-main-audit/backend-route-inventory-raw.tsv	215345	0	122	284	77	0	37
audit-artifacts/phase0-main-audit/route-analysis-status.md	827	0	2	2	0	0	0
audit-artifacts/phase0-main-audit/NABD_Screen_and_User_Journey_Manifest_2026-08-24.md	15992	0	60	5	1	0	59
audit-artifacts/phase0-main-audit/semantic-evidence.md	4381	0	8	4	6	0	2
audit-artifacts/phase0-main-audit/NABD_Main_Traceability_Checkpoint_2026-08-24.md	2751	0	0	13	2	0	0
audit-artifacts/phase0-main-audit/NABD_Contract_and_Route_Inventory_2026-08-24.md	216791	0	123	286	78	0	37
audit-artifacts/phase0-main-audit/confirmed-findings-checkpoint.md	3849	0	11	0	12	0	7
audit-artifacts/phase0-main-audit/truthfulness-security-candidate-scan.txt	924184	0	789	590	256	2244	214
audit-artifacts/phase0-main-audit/truthfulness-context-review.txt	139182	0	67	59	24	540	20
audit-artifacts/phase0-main-audit/todo-line-inventory.tsv	250136	5	255	284	547	38	95
audit-artifacts/phase0-main-audit/todo-complete-read-summary.md	1597	0	1	4	4	0	2
audit-artifacts/phase0-main-audit/phase13-evidence-reconciliation.md	3362	0	4	0	10	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-doctor-provider.md	2714	0	5	8	1	1	1
