surface	candidate_kind	source_path	sha256	line_count	action_lines	state_signal_lines	notes
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/index.tsx	e7ef3b39ab55d2eb22f6b8ef9c44f740e18a1e5475aa56554bf44edb0e9915a6	65	29,31,34	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai-assistant.tsx	d5ec29fd132bbd7fa3fe44103da767388ca4aa8819baf06cbfc7bf2ccdc64f5b	211	135,150	30,35,61,62	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/support/chat.tsx	7269f2404e7b47cb671a77bc064f8c3cc0b340d68e82796756690f8d1c8d3877	399	129,199,226,250	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/support/ticket.tsx	2bb4a007efe26968918a27154d26702fdf9903e630233e843f160581dad4e40e	143	44,50,69	23,57	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/community/hub.tsx	4cfbdd96ccfa0337517d045ba3afb357d0dd177aab6eb08e1e5b3ec0f0e6d491	314	98,107,143,171,172,238,260,264	37,63,112,215	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/community/post-detail.tsx	6ab5a01586714384cbb518eda3d18cfc8c7a102e8c9d42637f58c467bdf7b68c	371	132,178,189,194,257	37,58,98,198	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/reports/hub.tsx	1c530e071267b80b77603e77049f71aab6241c1dfdd2fc2e542e140e461a6efc	282	110,143,154,178,179,237,238,250,251	64,66,75,115,148,158,172,220	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/reports/timeline.tsx	46a74fd6b9dab336e5b45e3bbffdc6e69e5d929f4a86f8f1c17e763c32ae480a	293	80,89,117,207	38,46,125,248	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/reports/ai-analysis.tsx	2e4396588baa2889dfa59df09ad58836c844e37b886f8c93e92abaabb69e6d1c	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/reports/view-report.tsx	cdac162971c521b8119b84e2f92254926d1d3f30fef7d784ad1099b775e4d862	263	110,132,141,245,246	4,59,60,73,97,105,224	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/reports/passport.tsx	c2c95e9dbf2ddbf6b88127c89aee1f01b6b79f63d60c27e684c0a720b955de18	330	72,79,250	52,53,137,240,265	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/profile/index.tsx	78b896329c7f52dbf8561e8c23744fc001b56344515c0d8f2326222b51ad5708	132	34,61,68,79,88,95,115	23,89,91,93,115	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/profile/addresses.tsx	73cf41a063ff135357f00b6d68326d5981644a7ef70b46a37e0bb0e30c511208	181	85,108	23,90	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/profile/insurance.tsx	91c5eebbcf8f98b014f8f2d38bb38b7b9bd45e17a71e276ba1bbb6db2a5fe27c	338	139,190,209,240,278,284,306	25,26,40,56,61,73,96,145,151,161,168,174,180	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/profile/edit.tsx	a9362180e311599edf0d8ea49abd4c0e7ea746d111b3d97f2368d9aeb579e807	6	4	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/offers/index.tsx	871f6b5c12f74085f1a0d910807cf54752e02e4f16fb390a4f56342d076d437e	97	40,54,59	17,43	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/offers/[id].tsx	3661ad59748d4e438acceaf0673554b3ff8fdc7526644ed10d63cb544ab0fda8	234	62,80,81,101,102,187	19,21,44,45,46,47,54,66,74,94,122,123,127,129,137,142,143,144,176	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/loyalty/hub.tsx	8ffee0c60c11cc9b788089525e77ebe8628efe5a88b369acd586a60c3daa9878	431	113,114,117,206,268,289	40,86,97	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/loyalty/referrals.tsx	2ff46639a54bd3c7893368414cdc1e41a31a8f860661cdc0ae5fc5aaf4bed20f	323	112,132,141,199,200,219	41,42,99,107,111,218	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/loyalty/challenges.tsx	fdc5a0846da4b64a7db06d9547ee70a71a7fa7e8d9daa91401659c17802e7aa7	196	73,125	20,43,55,60	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/loyalty/rewards.tsx	c5f536dd500febb91bc42829a5a207b40a7b16d1a4bd055850f1b374ddf8e2e7	163	56,96,134	20,36,53,70,81	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/loyalty/leaderboard.tsx	337510aae0d6d2c49f26c78adffe3326fc025ab31295cb3eac1cd302c1001340	294	80	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/symptom-timeline.tsx	7b9b32e4a32be722c6739045312d735793d567d9859fae3bdd3db4b65a1e9d16	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/monthly-report.tsx	74af27b4961e4381e7dbaf371d65da3c1ac80c1c87940317470c2f98d5960c40	264	86,105,115,173,191,229,232	27,72,102	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/skin-analysis.tsx	98b4e44c02fd836bc823693531b2e362f6ed8747975379994880f810c15df966	52	45,48	24,48,51	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/prescription-translator.tsx	b8ab5a6b7ab87e466e5aa40a1355b7627c77b50e267b18208962762e2cb56f67	292	76,77,138,145,149,183,239,240,248,259,260,264	78,119,122,149	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/chat-doctor.tsx	c3d88bd152314fbd0a74a0b364f2484eb5ee0a87a146b68efd5cf21c7c798f3f	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/triage.tsx	e4351c0c162ea0a8b5396a28726d0601b62a9ec51df304befe83f43251970fcf	79	51,57,61,67,71,73	26,72,78	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/ai/symptom-checker.tsx	3457203e1fdd0225811eb9a2f579606ecaedc8a32e75fad05bfc5732ce2e8803	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/notifications/index.tsx	2c5b00004df30ba4319c5e2457c1e356d3a65294643f354aba0291106874f8b0	221	120,129,135,137,144,148,176,189	36,82,84,157,172	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/search/index.tsx	80389867a6260b6c5fff35bcf2c54e35373050af11d3cb850f74f1ed63af8935	236	84,86,89,91,93,95,97,99,101,127,147,167	59,97,112	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/voice/index.tsx	66fee3147af7b2e95d48845b350e23b4c9d7415db7de39e92f3064d93b59539e	164	83,101	109,125	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/wearables/hub.tsx	3f924a0d33e01e499f005922c920987175640c5404da4c4b0fe20cb3760afcd8	270	169,240	149,239	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/services/index.tsx	1666c84c16682a096130eebef871ed7ed92c083bfd568203ab5b54989070a5bf	125	80,91	60	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/search.tsx	8e7e8928ad02df3e8dca95ca5d41c4c07c3331fb2611a07d7e35baf8c97cae11	149	72,96,97	23,75	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/cart.tsx	0c4812e364542484aa98ce0f0f7a323500ba84fa2323eb39da11048761f7c3ed	230	50,58,72,76,89,110,118,143,189,192	32	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/technician-tracking.tsx	4cd99908d596baf9e1625e10b6ae545b1d372e207bf95ac5ae71c7002b2dcd4d	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/booking-success.tsx	1ff1bac23e34ee88aaaf59f644a67412d086866390303bd8af402a7386628c98	111	88,93	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/orders.tsx	5af2776c75b457e5175c7bb1089dbf64de21f89234725c0cd7489ef686029271	364	113,148,167,212,213	24,181,199,201,213,224,229,234,239,254,261,272,293	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/my-results.tsx	83e331a3961dc9ffaf03da4f219516f9fa92ef83f43d648e71dacb2260bbbaf2	203	59,140	21,34,62,110,140	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/results-history.tsx	94e6d5156c5aa1c0b6da91e3a4b087ca2c9be746a6afaa5a80798e5636a14890	126	43,72	15,27,46	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/insurance-approval.tsx	3317ed2fb333ffcfb1b768f43701c87efd054762a151b06ee14c692f67fa694e	288	122,181,239,240,250,258,259	56,84	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/upload-rx.tsx	1bf443704c5aa1480f8a9bb1e196c82a3a42ed8b181d62df7a4c20bc18149fa2	8	6	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/sample-tracking.tsx	23f4db8d0810ee3924f4922c3c5a8844b16744f29e8bf592481234055fbc3d56	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
