path,group,comparison_status,main_kind,workstation_kind,static_boundary
.github/workflows/ci.yml,delivery_ops,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
.gitignore,root_or_other,DIFFERENT_BLOB,blob,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
ADMIN_ENTERPRISE_PLAN.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
DECISIONS_LOCKED.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
HANDOFF.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
NABDAH_PROJECT_REFERENCE.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
NabdProvider-provider.zip,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
PROVIDER_PRODUCTION_PLAN.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
README.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
REVIEW_VERDICT.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
REVIEW_VERDICT_ADMIN.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
SESSION_KICKOFF_MESSAGES.md,root_or_other,WORKSTATION_ONLY,,blob,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/ADMIN_DISPUTES_SOURCE_SCOPE_BLOCKER_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/ADMIN_QA_ROUTE_BUTTON_INVENTORY_20260818.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/ADMIN_SOURCE_INVENTORY_20260818.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/AUDIT_REPORT_BUILD_GATE_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/AUTHORITATIVE_SOURCE_HASH_SNAPSHOT_20260818.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/AUTHORITATIVE_SOURCE_REGISTER_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/COMMUNICATIONS_IMPLEMENTATION_VERIFICATION_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/COMMUNICATIONS_SOURCE_TRACE_20260817.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/COMPREHENSIVE_SERVICE_SCENARIO_MATRIX_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/CONSENT_CONTRACT_REVIEW_DRAFT_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/CONSULTATION_BACKEND_APP_CONTRACT_MAP_20260818.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEPLOYMENT_AND_POST_DEPLOY_GATE_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_AUTOMATED_BUILD_RESULTS_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_FARM_BLOCKER_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
